GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
08116008;Bempflingen;983;106;78;469;87;22;39;53;68;58;3
08116011;Beuren;1051;163;94;471;110;45;73;33;27;28;7
08116012;Bissingen an der Teck;1084;172;70;436;145;50;59;91;31;16;14
08116014;Deizisau;1575;93;131;852;101;85;45;142;69;51;6
08116015;Denkendorf;2261;137;183;1186;247;102;93;102;104;86;21
08116016;Dettingen unter Teck;1524;148;146;741;156;49;98;52;57;59;18
08116018;Erkenbrechtsweiler;671;70;54;281;98;32;39;52;23;16;6
08116019;Esslingen am Neckar, Stadt;15472;2096;2369;7561;1083;406;480;548;378;388;163
08116020;Frickenhausen;2513;258;208;1243;330;94;94;117;72;88;9
08116022;Großbettlingen;1163;39;25;661;122;44;57;99;33;50;33
08116027;Hochdorf;1300;70;75;607;213;77;66;77;43;61;11
08116029;Holzmaden;651;51;60;259;63;29;61;77;29;15;7
08116033;Kirchheim unter Teck, Stadt;8615;922;782;3773;1022;426;576;443;321;285;65
08116035;Köngen;2358;209;140;1070;245;142;99;194;121;85;53
08116036;Kohlberg;751;91;70;309;81;33;40;65;47;12;3
08116037;Lichtenwald;806;61;21;400;127;27;52;41;36;35;6
08116041;Neckartailfingen;1088;117;62;505;139;28;103;70;36;18;10
08116042;Neckartenzlingen;1466;101;145;653;205;115;75;71;38;48;15
08116043;Neidlingen;540;69;35;202;63;47;37;46;18;17;6
08116046;Neuffen, Stadt;1764;167;165;753;218;99;91;101;100;61;9
08116047;Neuhausen auf den Fildern;2760;201;141;1386;393;124;107;134;182;78;14
08116048;Notzingen;1106;88;67;443;152;79;93;57;35;85;7
08116049;Nürtingen, Stadt;9329;969;1020;4387;1009;391;416;446;353;293;45
08116050;Oberboihingen;1499;133;139;612;212;76;112;135;25;49;6
08116053;Ohmden;561;72;18;255;43;55;27;27;20;38;6
08116054;Owen, Stadt;1011;111;80;361;145;76;84;92;32;21;9
08116056;Plochingen, Stadt;2501;228;359;1190;220;74;178;127;55;52;18
08116058;Reichenbach an der Fils;1612;173;166;802;140;44;96;95;46;29;21
08116063;Schlaitdorf;581;52;52;210;78;24;44;48;24;38;11
08116068;Unterensingen;1204;64;87;659;95;56;62;66;51;48;16
08116070;Weilheim an der Teck, Stadt;2632;333;155;1026;335;169;196;192;76;101;49
08116071;Wendlingen am Neckar, Stadt;3407;256;370;1662;333;123;224;119;111;162;47
08116072;Wernau (Neckar), Stadt;2481;87;130;1452;194;129;113;181;80;66;49
08116073;Wolfschlugen;1593;117;73;746;222;79;102;102;47;83;22
08116076;Aichwald;2123;74;51;1228;247;152;89;112;62;68;40
08116077;Filderstadt, Stadt;8633;539;535;4261;947;450;565;460;457;338;81
08116078;Leinfelden-Echterdingen, Stadt;7157;261;453;4121;771;356;312;322;237;227;97
08116079;Lenningen;2533;286;314;1131;259;156;149;107;50;54;27
08116080;Ostfildern, Stadt;6839;404;464;3506;604;267;250;374;471;419;80
08116081;Aichtal, Stadt;2736;206;130;1295;404;106;170;186;125;97;17
08117001;Adelberg;644;73;25;254;111;58;49;24;25;25;-
08117002;Aichelberg;386;31;10;151;20;16;41;67;35;9;6
08117003;Albershausen;1198;111;74;573;124;79;57;86;27;52;15
08117006;Bad Ditzenbach;997;137;78;388;104;64;75;60;48;40;3
08117007;Bad Überkingen;1141;125;71;519;133;54;68;103;44;24;-
08117009;Birenbach;561;38;21;296;76;28;33;39;9;12;9
08117010;Böhmenkirch;1606;158;116;614;199;91;148;144;71;40;25
08117011;Börtlingen;542;67;21;252;81;24;9;41;29;12;6
08117012;Bad Boll;1296;128;68;541;193;127;107;47;30;15;40
08117014;Deggingen;1545;171;121;793;157;79;44;77;53;35;15
08117015;Donzdorf, Stadt;3024;230;223;1521;396;119;132;152;120;100;31
08117016;Drackenstein;133;23;9;54;4;0;21;15;4;-;3
08117017;Dürnau;591;43;10;238;56;28;99;67;27;23;-
08117018;Ebersbach an der Fils, Stadt;3864;363;362;1751;516;238;201;178;114;107;34
08117019;Eislingen/Fils, Stadt;4179;608;571;1656;374;199;260;216;142;128;25
08117020;Eschenbach;520;40;12;252;58;27;58;25;25;10;13
08117023;Gammelshausen;406;40;6;206;72;18;19;7;3;16;19
08117024;Geislingen an der Steige, Stadt;5658;1053;1125;2237;310;184;252;237;148;87;25
08117025;Gingen an der Fils;1220;167;154;556;107;40;47;57;49;30;13
08117026;Göppingen, Stadt;11262;1698;1660;4868;1087;383;437;461;310;247;111
08117028;Gruibingen;648;87;39;223;89;67;64;36;21;13;9
08117029;Hattenhofen;849;85;46;414;108;53;40;46;24;27;6
08117030;Heiningen;1346;107;60;705;216;57;51;83;33;22;12
08117031;Hohenstadt;292;19;6;57;60;18;53;44;3;28;4
08117033;Kuchen;1505;193;157;714;205;43;68;77;25;17;6
08117035;Mühlhausen im Täle;294;34;30;100;64;16;16;12;16;6;-
08117037;Ottenbach;705;43;34;304;74;56;59;52;40;30;13
08117038;Rechberghausen;1412;121;102;724;143;82;69;67;56;37;11
08117042;Salach;1773;196;255;682;203;76;139;73;63;56;30
08117043;Schlat;542;51;40;242;71;9;34;47;23;22;3
08117044;Schlierbach;1108;100;61;526;117;41;73;104;24;52;10
08117049;Süßen, Stadt;2306;257;262;970;318;134;107;129;36;79;14
08117051;Uhingen, Stadt;3561;391;319;1529;424;126;260;241;139;116;16
08117053;Wäschenbeuren;1124;67;119;362;95;134;103;98;75;45;26
08117055;Wangen;921;110;79;440;110;46;46;34;22;34;-
08117058;Wiesensteig, Stadt;630;140;78;262;59;25;24;19;13;10;-
08117060;Zell unter Aichelberg;846;91;26;295;150;55;62;51;22;50;44
08117061;Lauterstein, Stadt;812;119;83;344;93;18;72;32;31;20;0
08118001;Affalterbach;1402;94;68;734;228;37;44;57;93;35;12
08118003;Asperg, Stadt;2865;235;268;1389;328;147;57;129;179;115;18
08118006;Benningen am Neckar;1502;103;121;666;189;121;78;75;34;81;34
08118007;Besigheim, Stadt;2944;293;285;1118;360;148;211;237;144;100;48
08118010;Bönnigheim, Stadt;1954;310;223;715;200;93;98;150;80;69;16
08118011;Ditzingen, Stadt;5037;323;338;2555;478;327;231;341;184;192;68
08118012;Eberdingen;1853;154;103;773;232;111;170;101;90;89;30
08118014;Erdmannhausen;1386;97;95;591;178;137;65;108;36;40;39
08118015;Erligheim;751;63;25;299;89;43;95;64;28;27;18
08118016;Freudental;694;65;9;312;99;24;74;23;20;65;3
08118018;Gemmrigheim;1071;94;100;495;109;46;57;76;69;19;6
08118019;Gerlingen, Stadt;3862;114;322;2222;447;107;150;236;118;107;39
08118021;Großbottwar, Stadt;2273;218;151;920;299;99;174;185;123;86;18
08118027;Hemmingen;1222;81;42;639;162;57;70;109;42;17;3
08118028;Hessigheim;700;59;72;273;56;34;70;63;13;41;19
08118040;Kirchheim am Neckar;1303;177;155;475;125;55;88;78;59;85;6
08118046;Kornwestheim, Stadt;4612;312;970;1729;469;219;134;255;244;182;98
08118047;Löchgau;1564;112;97;662;173;150;91;131;65;71;12
08118048;Ludwigsburg, Stadt;14522;1690;2388;6570;1173;641;539;576;395;363;187
08118049;Marbach am Neckar, Stadt;3457;342;328;1594;381;104;164;247;145;131;21
08118050;Markgröningen, Stadt;3032;282;236;1336;368;195;162;196;84;131;42
08118051;Möglingen;1744;70;77;1074;111;56;161;68;40;62;25
08118053;Mundelsheim;1036;103;65;398;120;68;114;85;46;28;9
08118054;Murr;1470;71;76;609;234;82;142;100;84;66;6
08118059;Oberriexingen, Stadt;952;116;36;369;76;44;108;97;36;45;25
08118060;Oberstenfeld;2340;135;116;1058;451;126;122;115;131;71;15
08118063;Pleidelsheim;1443;59;54;598;160;118;213;137;56;30;18
08118067;Schwieberdingen;2241;123;69;1097;254;88;63;167;194;127;59
08118068;Sersheim;1363;73;103;539;223;67;123;66;68;67;34
08118070;Steinheim an der Murr, Stadt;3322;217;208;1321;478;220;230;211;185;225;27
08118071;Tamm;2696;140;94;1016;809;135;84;168;124;95;31
08118073;Vaihingen an der Enz, Stadt;7641;942;535;3252;656;330;502;642;407;310;65
08118074;Walheim;861;88;80;404;68;33;57;48;38;29;16
08118076;Sachsenheim, Stadt;4482;369;268;1985;567;271;292;208;182;253;87
08118077;Ingersheim;1520;108;118;723;188;43;91;121;73;25;30
08118078;Freiberg am Neckar, Stadt;3689;212;245;1976;403;166;179;229;102;132;45
08118079;Bietigheim-Bissingen, Stadt;8419;615;952;3747;1066;390;399;501;325;329;95
08118080;Korntal-Münchingen, Stadt;3318;241;460;1496;332;112;143;185;158;152;39
08118081;Remseck am Neckar, Stadt;5003;266;183;2208;461;269;323;563;324;222;184
08119001;Alfdorf;2056;249;117;817;238;91;195;134;112;78;25
08119003;Allmersbach im Tal;1289;52;46;669;208;29;83;56;75;52;19
08119004;Althütte;1288;100;50;646;171;21;70;107;51;46;26
08119006;Auenwald;1960;150;98;836;269;82;148;208;88;71;10
08119008;Backnang, Stadt;7238;528;832;3334;773;234;440;402;375;217;103
08119018;Burgstetten;958;115;80;409;84;36;63;58;51;18;44
08119020;Fellbach, Stadt;6833;584;1504;2935;438;256;374;280;210;189;63
08119024;Großerlach;797;138;51;315;120;25;56;47;24;3;18
08119037;Kaisersbach;749;153;47;231;94;38;47;71;36;29;3
08119038;Kirchberg an der Murr;1027;113;105;460;89;47;77;57;12;61;6
08119041;Korb;2373;171;195;1170;200;176;136;119;89;64;53
08119042;Leutenbach;2479;106;117;1153;357;161;187;114;80;137;67
08119044;Murrhardt, Stadt;3368;411;335;1625;322;146;187;157;103;60;22
08119053;Oppenweiler;1191;111;109;508;180;41;88;74;50;24;6
08119055;Plüderhausen;2261;213;141;1104;304;106;97;147;55;82;12
08119061;Rudersberg;3186;369;186;1327;432;155;259;160;152;120;26
08119067;Schorndorf, Stadt;8658;802;818;4121;969;412;405;457;325;283;66
08119068;Schwaikheim;1980;85;182;914;210;97;120;185;87;75;25
08119069;Spiegelberg;715;134;60;252;95;44;49;41;19;21;-
08119075;Sulzbach an der Murr;1357;220;114;570;133;67;75;118;39;12;9
08119076;Urbach;2309;177;286;951;234;127;141;142;111;90;50
08119079;Waiblingen, Stadt;9688;711;1031;4866;918;396;439;540;350;266;171
08119083;Weissach im Tal;1949;133;91;860;349;114;123;142;59;60;18
08119084;Welzheim, Stadt;2583;242;138;1113;332;159;218;133;142;74;32
08119085;Winnenden, Stadt;5617;352;408;2602;598;355;375;369;258;223;77
08119086;Winterbach;1955;166;144;927;195;95;155;88;88;66;31
08119087;Aspach;2220;189;140;997;266;113;217;123;91;57;27
08119089;Berglen;1853;211;124;712;261;97;125;137;71;90;25
08119090;Remshalden;3536;321;176;1863;413;148;196;204;104;99;12
08119091;Weinstadt, Stadt;5885;488;425;2809;602;292;337;365;231;229;107
08119093;Kernen im Remstal;3051;154;235;1612;271;108;139;250;107;142;33
08121000;Heilbronn, Stadtkreis;22041;1763;3534;11033;2055;750;843;772;667;525;99
08125001;Abstatt;1273;51;29;433;226;146;118;162;61;47;-
08125005;Bad Friedrichshall, Stadt;4111;329;393;1575;409;151;416;435;245;148;10
08125006;Bad Rappenau, Stadt;5285;481;254;2150;708;277;575;395;227;170;48
08125007;Bad Wimpfen, Stadt;1817;282;154;675;248;101;97;97;103;31;29
08125008;Beilstein, Stadt;1807;131;111;690;356;143;132;77;74;74;19
08125013;Brackenheim, Stadt;4285;462;313;1371;565;207;429;453;245;179;61
08125017;Cleebronn;822;89;75;315;92;50;80;62;40;13;6
08125021;Eberstadt;908;87;40;337;147;72;65;86;44;27;3
08125024;Ellhofen;978;34;72;407;190;60;55;77;49;25;9
08125026;Eppingen, Stadt;5570;786;317;2017;633;236;382;571;319;252;57
08125027;Erlenbach;1342;95;90;522;192;116;103;112;56;50;6
08125030;Flein;1794;124;84;892;202;53;81;175;70;67;46
08125034;Gemmingen;1342;102;48;664;178;43;107;115;26;42;17
08125038;Güglingen, Stadt;1548;197;71;606;212;80;155;117;57;49;4
08125039;Gundelsheim, Stadt;2108;323;138;846;250;95;163;135;84;46;28
08125046;Ilsfeld;2454;218;217;929;340;119;167;174;142;120;28
08125047;Ittlingen;661;104;31;244;69;24;78;48;37;16;10
08125048;Jagsthausen;546;122;29;214;30;22;51;28;17;30;3
08125049;Kirchardt;1485;148;78;510;243;80;122;164;79;43;18
08125056;Lauffen am Neckar, Stadt;2693;342;308;1037;312;120;181;186;97;64;46
08125057;Lehrensteinsfeld;716;35;52;287;61;20;16;108;91;40;6
08125058;Leingarten;2950;164;248;1160;378;139;180;352;125;147;57
08125059;Löwenstein, Stadt;928;77;66;337;136;41;72;69;49;53;28
08125061;Massenbachhausen;1013;47;50;474;137;60;131;70;22;9;13
08125063;Möckmühl, Stadt;1936;269;151;796;196;87;192;127;50;59;9
08125065;Neckarsulm, Stadt;5610;257;719;2462;590;355;416;437;177;161;36
08125066;Neckarwestheim;973;62;60;332;175;70;145;58;38;21;12
08125068;Neudenau, Stadt;1573;204;136;668;175;62;109;76;69;56;18
08125069;Neuenstadt am Kocher, Stadt;2596;171;143;957;475;172;209;185;169;91;24
08125074;Nordheim;2097;150;189;821;231;94;138;277;82;80;35
08125078;Oedheim;1714;106;153;696;138;123;170;139;85;73;31
08125079;Offenau;720;77;50;292;69;31;44;100;19;25;13
08125081;Pfaffenhofen;770;127;76;281;65;68;55;27;32;39;-
08125084;Roigheim;447;75;44;208;35;15;16;21;12;18;3
08125086;Schwaigern, Stadt;3070;286;231;1256;351;172;218;216;142;175;23
08125087;Siegelsbach;460;50;28;221;42;14;23;37;33;9;3
08125094;Talheim;1448;85;91;547;179;139;82;218;37;43;27
08125096;Untereisesheim;1076;50;51;373;208;41;83;93;56;90;31
08125098;Untergruppenbach;2385;131;136;1179;303;131;156;128;64;106;51
08125102;Weinsberg, Stadt;2771;159;282;1159;404;157;212;206;124;46;22
08125103;Widdern, Stadt;587;124;44;163;52;21;46;83;26;19;9
08125107;Wüstenrot;2105;195;153;964;265;106;153;141;53;62;13
08125108;Zaberfeld;1367;202;89;412;153;102;181;95;78;36;19
08125110;Obersulm;3859;226;222;1854;430;171;262;336;181;135;42
08125111;Hardthausen am Kocher;1151;115;101;334;122;85;98;164;73;47;12
08125113;Langenbrettach;1062;85;88;354;133;66;73;98;84;69;12
08126011;Bretzfeld;3432;373;197;1194;511;231;288;332;180;113;13
08126020;Dörzbach;717;122;50;215;82;27;66;63;59;23;10
08126028;Forchtenberg, Stadt;1435;187;97;516;167;74;142;131;56;62;3
08126039;Ingelfingen, Stadt;1559;201;88;658;196;60;107;127;55;54;13
08126045;Krautheim, Stadt;1350;161;96;525;152;65;136;90;58;54;13
08126046;Künzelsau, Stadt;3495;373;236;1463;408;110;273;244;230;117;41
08126047;Kupferzell;1511;220;94;514;205;80;134;109;60;64;31
08126056;Mulfingen;1155;259;60;292;142;73;117;98;57;44;13
08126058;Neuenstein, Stadt;1811;269;92;676;244;64;125;197;54;78;12
08126060;Niedernhall, Stadt;1013;77;55;436;145;52;53;92;61;27;15
08126066;Öhringen, Stadt;5042;447;421;2236;460;168;420;330;278;203;79
08126069;Pfedelbach;2465;191;136;1077;290;113;213;210;112;101;22
08126072;Schöntal;1900;295;138;712;196;69;157;150;88;75;20
08126085;Waldenburg, Stadt;842;69;48;339;130;30;65;80;47;31;3
08126086;Weißbach;541;54;23;240;58;15;59;53;15;24;-
08126094;Zweiflingen;488;89;28;167;42;13;36;50;15;41;7
08127008;Blaufelden;1581;289;152;574;160;61;131;104;49;48;13
08127009;Braunsbach;824;251;36;250;82;43;64;62;13;17;6
08127012;Bühlertann;823;101;37;260;87;42;84;108;70;21;13
08127013;Bühlerzell;702;102;43;264;98;23;40;57;36;33;6
08127014;Crailsheim, Stadt;7623;423;680;3458;871;313;586;541;335;334;82
08127023;Fichtenberg;860;118;48;383;99;19;66;49;48;18;12
08127025;Gaildorf, Stadt;2904;281;224;1281;318;195;170;213;106;102;14
08127032;Gerabronn, Stadt;1260;281;130;434;120;54;81;69;63;9;19
08127043;Ilshofen, Stadt;1617;176;97;578;177;64;163;178;88;69;27
08127046;Kirchberg an der Jagst, Stadt;1245;253;74;401;115;40;142;114;59;31;16
08127047;Langenburg, Stadt;634;173;48;239;51;15;29;43;12;21;3
08127052;Mainhardt;1718;248;98;643;157;84;149;132;95;80;32
08127056;Michelbach an der Bilz;940;60;27;409;140;50;78;68;70;18;20
08127059;Michelfeld;1001;88;57;303;177;50;104;85;36;54;47
08127062;Oberrot;1042;157;49;336;171;54;97;93;58;21;6
08127063;Obersontheim;1349;214;92;390;157;56;137;127;81;75;20
08127071;Rot am See;1551;213;136;523;206;63;135;131;55;63;26
08127073;Satteldorf;1512;167;101;494;195;78;119;188;103;52;15
08127075;Schrozberg, Stadt;1688;363;121;671;166;54;106;106;47;39;15
08127076;Schwäbisch Hall, Stadt;8432;921;847;3795;738;302;452;464;397;341;175
08127079;Sulzbach-Laufen;748;102;76;290;51;43;55;56;22;34;19
08127086;Untermünkheim;843;134;59;278;103;41;100;56;36;32;4
08127089;Vellberg, Stadt;1258;138;50;489;197;55;118;124;38;38;11
08127091;Wallhausen;996;122;69;273;78;54;135;116;83;46;20
08127099;Wolpertshausen;571;87;43;123;36;21;60;94;56;33;18
08127100;Rosengarten;1420;199;88;482;162;71;132;168;53;51;14
08127101;Kreßberg;1178;135;86;395;150;58;119;106;77;42;10
08127102;Fichtenau;1404;217;138;526;144;76;104;119;45;32;3
08127103;Frankenhardt;1393;132;77;509;201;64;119;144;76;55;16
08127104;Stimpfach;860;82;61;299;129;22;111;81;56;16;3
08128006;Assamstadt;599;41;10;217;93;24;64;59;29;46;16
08128007;Bad Mergentheim, Stadt;5478;622;554;2161;626;259;376;352;240;201;87
08128014;Boxberg, Stadt;2153;390;183;708;302;97;174;134;80;65;20
08128020;Creglingen, Stadt;1608;399;222;542;132;45;66;88;42;56;16
08128039;Freudenberg, Stadt;1209;200;95;536;103;53;64;79;40;26;13
08128045;Großrinderfeld;1231;128;72;448;150;67;107;108;57;63;31
08128047;Grünsfeld, Stadt;1176;192;82;406;131;47;104;117;58;25;14
08128058;Igersheim;1425;119;60;557;232;119;121;90;63;51;13
08128061;Königheim;1007;171;75;397;125;63;53;77;34;9;3
08128064;Külsheim, Stadt;1670;292;117;595;177;92;143;158;52;31;13
08128082;Niederstetten, Stadt;1570;315;117;563;195;71;117;101;55;30;6
08128115;Tauberbischofsheim, Stadt;3592;403;209;1548;380;178;234;322;177;115;26
08128126;Weikersheim, Stadt;2346;331;194;967;226;106;157;177;101;73;14
08128128;Werbach;1151;241;76;392;104;50;86;90;42;44;26
08128131;Wertheim, Stadt;5825;849;327;2572;571;241;390;460;211;145;59
08128137;Wittighausen;512;75;37;223;65;12;28;55;10;7;-
08128138;Ahorn;805;173;103;239;108;33;39;50;20;33;7
08128139;Lauda-Königshofen, Stadt;4242;515;362;1929;423;155;309;289;154;93;13
08135010;Dischingen;1495;222;117;616;179;81;104;85;41;37;13
08135015;Gerstetten;3682;460;222;1558;446;123;268;300;161;108;36
08135016;Giengen an der Brenz, Stadt;4897;460;356;2709;429;157;250;291;117;110;18
08135019;Heidenheim an der Brenz, Stadt;11374;1855;1874;4780;1002;484;506;396;236;169;72
08135020;Herbrechtingen, Stadt;3600;242;293;1729;490;171;206;219;121;99;30
08135021;Hermaringen;727;67;56;333;83;27;53;35;37;36;0
08135025;Königsbronn;2088;184;172;1115;212;80;132;107;55;28;3
08135026;Nattheim;1730;129;96;804;199;90;162;131;60;46;13
08135027;Niederstotzingen, Stadt;1436;158;99;648;162;83;108;93;56;22;7
08135031;Sontheim an der Brenz;1730;175;112;786;183;81;117;148;69;46;13
08135032;Steinheim am Albuch;2561;235;162;1309;315;102;176;111;98;41;12
08136002;Abtsgmünd;2212;359;139;791;241;134;160;148;113;108;19
08136003;Adelmannsfelden;562;78;61;178;75;33;58;46;12;12;9
08136007;Bartholomä;799;83;30;402;103;26;55;51;25;14;10
08136009;Böbingen an der Rems;1287;47;82;563;141;85;119;103;85;40;22
08136010;Bopfingen, Stadt;3487;446;250;1702;328;150;170;215;112;72;42
08136015;Durlangen;806;46;19;399;101;36;65;61;54;18;7
08136018;Ellenberg;515;56;28;196;63;18;51;34;16;44;9
08136019;Ellwangen (Jagst), Stadt;5954;581;431;2540;657;259;451;475;268;208;84
08136020;Eschach;538;58;26;179;72;19;54;66;25;29;10
08136021;Essingen;1706;131;60;676;286;66;146;163;64;88;26
08136024;Göggingen;693;52;25;229;97;42;63;111;35;28;11
08136027;Gschwend;1605;304;121;564;160;58;127;164;52;43;12
08136028;Heubach, Stadt;2257;206;178;969;308;130;130;146;78;85;27
08136029;Heuchlingen;542;42;25;248;57;24;38;58;28;22;-
08136033;Hüttlingen;1628;101;94;689;184;76;160;127;52;106;39
08136034;Iggingen;743;76;20;320;76;37;77;63;35;27;12
08136035;Jagstzell;675;83;41;265;94;35;54;53;32;15;3
08136037;Kirchheim am Ries;602;70;25;256;64;10;56;58;34;20;9
08136038;Lauchheim, Stadt;1314;127;60;481;158;52;125;150;93;51;17
08136040;Leinzell;592;80;39;303;64;23;47;21;15;-;-
08136042;Lorch, Stadt;2881;381;246;1111;390;133;207;186;128;70;29
08136043;Mögglingen;1155;114;65;458;159;55;78;88;79;40;19
08136044;Mutlangen;1729;68;51;754;172;114;131;112;163;123;41
08136045;Neresheim, Stadt;2323;253;109;950;339;126;207;138;79;84;38
08136046;Neuler;867;99;43;300;95;39;98;66;67;51;9
08136049;Obergröningen;160;34;7;36;25;10;16;12;7;9;4
08136050;Oberkochen, Stadt;1989;67;186;1106;237;105;108;71;48;49;12
08136060;Rosenberg;796;130;34;251;108;63;69;81;38;12;10
08136061;Ruppertshofen;527;33;35;151;62;29;65;89;28;29;6
08136062;Schechingen;670;66;31;230;81;31;132;67;19;9;4
08136065;Schwäbisch Gmünd, Stadt;13447;1577;1188;6725;1303;566;665;601;331;350;141
08136066;Spraitbach;995;58;20;478;192;61;97;47;27;9;6
08136068;Stödtlen;569;65;43;191;69;28;61;65;37;7;3
08136070;Täferrot;298;25;31;131;33;17;12;25;6;9;9
08136071;Tannhausen;531;43;29;199;76;23;55;49;36;14;7
08136075;Unterschneidheim;1341;103;66;510;193;58;105;133;80;72;21
08136079;Waldstetten;1968;143;129;902;276;80;122;176;55;67;18
08136082;Westhausen;1655;112;102;737;168;99;138;123;60;83;33
08136084;Wört;380;42;33;102;47;15;38;50;28;9;16
08136087;Riesbürg;726;75;46;322;81;42;56;50;29;19;6
08136088;Aalen, Stadt;16037;1381;1709;7826;1651;689;816;862;558;391;154
08136089;Rainau;892;47;33;309;150;46;92;108;41;53;13
08211000;Baden-Baden, Stadtkreis;11267;2120;1194;4329;1073;515;643;589;358;355;91
08212000;Karlsruhe, Stadtkreis;41782;6017;6475;17981;3718;1444;1978;1665;981;1054;469
08215007;Bretten, Stadt;7185;839;462;3038;903;288;396;556;302;288;113
08215009;Bruchsal, Stadt;9711;865;1029;4274;1084;373;699;668;313;293;113
08215017;Ettlingen, Stadt;8284;654;641;3958;1153;340;577;407;297;154;103
08215021;Forst;2128;149;165;817;313;115;201;144;73;75;76
08215025;Gondelsheim;914;88;47;329;132;85;67;54;39;33;40
08215029;Hambrücken;1563;82;88;644;223;57;175;126;92;64;12
08215039;Kronau;1648;130;109;676;252;77;149;129;42;64;20
08215040;Kürnbach;739;99;35;356;81;26;48;22;41;22;9
08215046;Malsch;3905;320;284;1716;399;175;210;408;172;163;58
08215047;Marxzell;1433;151;85;579;219;98;91;100;62;41;7
08215059;Oberderdingen;2901;310;168;1238;326;114;184;250;144;113;54
08215064;Östringen, Stadt;3710;411;301;1522;445;170;301;207;177;137;39
08215066;Philippsburg, Stadt;3210;467;284;1300;429;124;140;194;120;97;55
08215082;Sulzfeld;1457;152;138;636;136;85;80;115;41;45;29
08215084;Ubstadt-Weiher;3803;292;252;1575;518;225;307;281;170;133;50
08215089;Walzbachtal;2640;302;191;1054;262;148;222;222;109;49;81
08215090;Weingarten (Baden);2667;315;265;1064;272;119;184;160;78;170;40
08215094;Zaisenhausen;506;73;46;194;56;22;18;43;20;25;9
08215096;Karlsbad;4326;447;277;1632;692;354;386;236;170;98;34
08215097;Kraichtal, Stadt;4382;616;370;1727;452;224;326;324;148;138;57
08215099;Graben-Neudorf;3195;359;213;1259;483;158;210;210;197;82;24
08215100;Bad Schönborn;3148;204;163;1238;369;210;285;306;187;153;33
08215101;Pfinztal;4863;481;523;2028;543;217;467;296;128;137;43
08215102;Eggenstein-Leopoldshafen;3815;245;185;1828;484;124;290;292;125;118;124
08215103;Karlsdorf-Neuthard;2776;165;229;1174;319;153;176;228;142;160;30
08215105;Linkenheim-Hochstetten;3094;205;203;1389;348;104;267;275;101;163;39
08215106;Waghäusel, Stadt;5504;417;611;2508;584;191;337;247;264;289;56
08215107;Oberhausen-Rheinhausen;2793;395;274;1206;294;84;190;173;92;65;20
08215108;Rheinstetten, Stadt;5153;245;474;2600;595;201;282;288;201;222;45
08215109;Stutensee, Stadt;5999;485;426;2385;840;328;338;502;359;308;28
08215110;Waldbronn;3117;194;139;1703;522;100;125;139;45;137;13
08215111;Dettenheim;2151;249;154;919;283;105;210;103;56;56;16
08216002;Au am Rhein;1002;62;92;396;111;63;69;113;39;57;-
08216005;Bietigheim;1659;147;152;769;199;80;58;105;81;51;17
08216006;Bischweier;786;34;54;399;58;35;30;100;38;25;13
08216007;Bühl, Stadt;7053;731;547;2757;890;403;464;549;334;260;118
08216008;Bühlertal;2204;290;196;1026;253;75;134;97;47;63;23
08216009;Durmersheim;3085;211;287;1405;275;142;169;209;141;205;41
08216012;Elchesheim-Illingen;955;71;100;396;104;42;64;70;38;53;17
08216013;Forbach;1556;329;191;618;157;45;103;39;31;28;15
08216015;Gaggenau, Stadt;7366;629;858;3524;844;302;394;341;207;208;59
08216017;Gernsbach, Stadt;3698;596;377;1649;405;168;138;124;118;92;31
08216022;Hügelsheim;841;27;37;365;116;66;44;59;73;45;9
08216023;Iffezheim;1212;99;63;470;176;115;84;73;54;68;10
08216024;Kuppenheim, Stadt;2018;159;156;903;185;102;115;121;69;118;90
08216028;Lichtenau, Stadt;1379;290;114;440;130;65;98;93;74;59;16
08216029;Loffenau;773;107;70;306;99;45;40;41;22;37;6
08216033;Muggensturm;1728;159;135;670;272;98;108;174;50;47;15
08216039;Ötigheim;1283;134;100;505;201;52;93;77;32;80;9
08216041;Ottersweier;1688;212;76;683;222;81;128;123;106;39;18
08216043;Rastatt, Stadt;8161;691;701;3903;1003;357;443;334;376;292;61
08216049;Sinzheim;3006;194;128;1022;439;212;299;317;188;153;54
