GENESIS-Tabelle: 12613-01-01-5-B
Sterbefälle: Gestorbene nach Geschlecht - Jahressumme -;;;;;
regionale Ebenen;;;;;
Statistik der Sterbefälle;;;;;
Gestorbene (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;männlich;weiblich
2010;0713203050;Herdorf, Stadt;-;-;-
2010;0713203068;Mauden;1;1;0
2010;0713203075;Niederdreisbach;8;2;6
2010;0713203079;Nisterberg;7;6;1
2010;0713203101;Schutzbach;2;1;1
2010;0713203113;Weitefeld;34;19;15
2010;0713204;Flammersfeld, Verbandsgem.;124;56;68
2010;0713204005;Berzhausen;1;1;0
2010;0713204015;Bürdenbach;1;1;0
2010;0713204016;Burglahr;5;4;1
2010;0713204023;Eichen;5;2;3
2010;0713204029;Eulenberg;2;1;1
2010;0713204032;Flammersfeld;12;3;9
2010;0713204041;Giershausen;0;0;0
2010;0713204043;Güllesheim;8;4;4
2010;0713204055;Horhausen (Westerwald);19;9;10
2010;0713204060;Kescheid;0;0;0
2010;0713204065;Krunkel;6;3;3
2010;0713204078;Niedersteinebach;12;3;9
2010;0713204083;Oberlahr;9;6;3
2010;0713204084;Obernau;0;0;0
2010;0713204085;Obersteinebach;1;0;1
2010;0713204088;Orfgen;3;0;3
2010;0713204089;Peterslahr;2;0;2
2010;0713204090;Pleckhausen;11;6;5
2010;0713204093;Reiferscheid;2;2;0
2010;0713204097;Rott, Westerwald;7;2;5
2010;0713204100;Schürdt;7;3;4
2010;0713204103;Seelbach (Westerwald);6;3;3
2010;0713204104;Seifen;2;1;1
2010;0713204112;Walterschen;1;1;0
2010;0713204116;Willroth;1;0;1
2010;0713204119;Ziegenhain;1;1;0
2010;0713205;Gebhardshain, Verbandsgem.;125;64;61
2010;0713205020;Dickendorf;4;3;1
2010;0713205024;Elben;3;2;1
2010;0713205025;Elkenroth;22;11;11
2010;0713205030;Fensdorf;7;7;0
2010;0713205039;Gebhardshain;19;7;12
2010;0713205059;Kausen;6;3;3
2010;0713205066;Malberg, Westerwald;11;5;6
2010;0713205071;Molzhain;6;3;3
2010;0713205073;Nauroth;9;5;4
2010;0713205095;Rosenheim (Landkreis Altenkirchen);11;6;5
2010;0713205107;Steinebach/Sieg;18;7;11
2010;0713205108;Steineroth;9;5;4
2010;0713206;Hamm (Sieg), Verbandsgem.;123;56;67
2010;0713206007;Birkenbeul;3;0;3
2010;0713206010;Bitzen;11;6;5
2010;0713206013;Breitscheidt;12;6;6
2010;0713206014;Bruchertseifen;8;3;5
2010;0713206028;Etzbach;5;2;3
2010;0713206034;Forst b Wissen, Sieg;7;4;3
2010;0713206038;Fürthen;11;4;7
2010;0713206044;Hamm (Sieg);38;18;20
2010;0713206077;Niederirsen;2;0;2
2010;0713206091;Pracht;8;3;5
2010;0713206096;Roth b Hamm, Sieg;18;10;8
2010;0713206102;Seelbach b Hamm (Sieg);0;0;0
2010;0713207;Kirchen (Sieg), Verbandsgem.;333;145;188
2010;0713207012;Brachbach;18;9;9
2010;0713207037;Friesenhagen;32;12;20
2010;0713207045;Harbach;4;2;2
2010;0713207063;Kirchen (Sieg);119;58;61
2010;0713207072;Mudersbach;96;37;59
2010;0713207076;Niederfischbach;64;27;37
2010;0713208;Wissen, Verbandsgem.;189;83;106
2010;0713208008;Birken-Honigsessen;39;22;17
2010;0713208011;Mittelhof;12;4;8
2010;0713208054;Hövels;3;0;3
2010;0713208080;Katzwinkel (Sieg);12;8;4
2010;0713208105;Selbach (Sieg);6;3;3
2010;0713208117;Wissen;117;46;71
2010;0713209;Betzdorf-Gebhardshain;-;-;-
2010;0713209002;Alsdorf;-;-;-
2010;0713209006;Betzdorf, Stadt;-;-;-
2010;0713209020;Dickendorf;-;-;-
2010;0713209024;Elben;-;-;-
2010;0713209025;Elkenroth;-;-;-
2010;0713209030;Fensdorf;-;-;-
2010;0713209039;Gebhardshain;-;-;-
2010;0713209042;Grünebach;-;-;-
2010;0713209059;Kausen;-;-;-
2010;0713209066;Malberg;-;-;-
2010;0713209071;Molzhain;-;-;-
2010;0713209073;Nauroth;-;-;-
2010;0713209095;Rosenheim (Altenk.);-;-;-
2010;0713209098;Scheuerfeld;-;-;-
2010;0713209107;Steinebach/Sieg;-;-;-
2010;0713209108;Steineroth;-;-;-
2010;0713209111;Wallmenroth;-;-;-
2010;0713300006;Bad Kreuznach, verbandsfr. Gemeinde;509;229;280
2010;0713300052;Kirn, verbandsfr. Gemeinde;134;57;77
2010;0713301;Bad Kreuznach, Verbandsgem.;65;37;28
2010;0713301003;Altenbamberg;-;-;-
2010;0713301012;Biebelsheim;4;3;1
2010;0713301030;Feilbingert;-;-;-
2010;0713301031;Frei-Laubersheim;5;3;2
2010;0713301032;Fürfeld;10;4;6
2010;0713301037;Hackenheim;14;9;5
2010;0713301039;Hallgarten;-;-;-
2010;0713301045;Hochstätten;-;-;-
2010;0713301069;Neu-Bamberg;10;5;5
2010;0713301078;Pfaffen-Schwabenheim;6;3;3
2010;0713301080;Pleitersheim;0;0;0
2010;0713301104;Tiefenthal, Rheinhessen;0;0;0
2010;0713301106;Volxheim;16;10;6
2010;0713302;Bad Münster am Stein-Ebernburg, Verbandsgem.;148;71;77
2010;0713302003;Altenbamberg;6;3;3
2010;0713302007;Bad Münster am Stein-Ebernburg;68;29;39
2010;0713302027;Duchroth;7;3;4
2010;0713302030;Feilbingert;11;5;6
2010;0713302039;Hallgarten;6;4;2
2010;0713302045;Hochstätten;10;4;6
2010;0713302070;Niederhausen;10;6;4
2010;0713302071;Norheim;18;8;10
2010;0713302074;Oberhausen an der Nahe;6;5;1
2010;0713302105;Traisen;6;4;2
2010;0713303;Kirn-Land, Verbandsgem.;102;54;48
2010;0713303008;Bärenbach b Idar-Oberstein;4;0;4
2010;0713303010;Becherbach bei Kirn;5;2;3
2010;0713303016;Brauweiler;2;0;2
2010;0713303038;Hahnenbach;7;5;2
2010;0713303041;Heimweiler;3;2;1
2010;0713303042;Heinzenberg;0;0;0
2010;0713303043;Hennweiler;7;4;3
2010;0713303046;Hochstetten-Dhaun;17;9;8
2010;0713303047;Horbach b Simmertal;0;0;0
2010;0713303059;Limbach b Kirn, Nahe;2;1;1
2010;0713303063;Meckenbach b Kirn, Nahe;3;2;1
2010;0713303073;Oberhausen bei Kirn;9;6;3
2010;0713303077;Otzweiler;1;1;0
2010;0713303096;Simmertal;20;13;7
2010;0713303113;Weitersborn;5;3;2
2010;0713303201;Bruschied;3;2;1
2010;0713303202;Kellenbach;5;1;4
2010;0713303203;Königsau;2;1;1
2010;0713303204;Schneppenbach;3;1;2
2010;0713303205;Schwarzerden;4;1;3
2010;0713304;Langenlonsheim, Verbandsgem.;127;65;62
2010;0713304018;Bretzenheim;23;12;11
2010;0713304026;Dorsheim;5;3;2
2010;0713304035;Guldental;23;13;10
2010;0713304054;Langenlonsheim;39;19;20
2010;0713304056;Laubenheim;7;4;3
2010;0713304087;Rümmelsheim;13;7;6
2010;0713304114;Windesheim;17;7;10
2010;0713305;Meisenheim, Verbandsgem.;113;55;58
2010;0713305001;Abtweiler;9;6;3
2010;0713305011;Becherbach;10;5;5
2010;0713305017;Breitenheim;5;2;3
2010;0713305020;Callbach;2;1;1
2010;0713305024;Desloch;4;1;3
2010;0713305049;Hundsbach;5;4;1
2010;0713305051;Jeckenbach;4;2;2
2010;0713305058;Lettweiler;2;0;2
2010;0713305060;Löllbach;3;0;3
2010;0713305065;Meisenheim;50;27;23
2010;0713305081;Raumbach;5;1;4
2010;0713305083;Rehborn;5;3;2
2010;0713305084;Reiffelbach;2;1;1
2010;0713305090;Schmittweiler;4;1;3
2010;0713305092;Schweinschied;3;1;2
2010;0713306;Rüdesheim, Verbandsgem.;236;113;123
2010;0713306002;Allenfeld;0;0;0
2010;0713306004;Argenschwang;5;3;2
2010;0713306013;Bockenau;10;5;5
2010;0713306014;Boos, Nahe;1;0;1
2010;0713306015;Braunweiler;9;1;8
2010;0713306019;Burgsponheim;4;3;1
2010;0713306021;Dalberg;3;2;1
2010;0713306027;Duchroth;-;-;-
2010;0713306033;Gebroth;2;1;1
2010;0713306036;Gutenberg;6;5;1
2010;0713306040;Hargesheim;22;17;5
2010;0713306044;Hergenfeld;1;0;1
2010;0713306048;Hüffelsheim;15;3;12
2010;0713306061;Mandel;11;3;8
2010;0713306068;Münchwald;3;2;1
2010;0713306070;Niederhausen;-;-;-
2010;0713306071;Norheim;-;-;-
2010;0713306074;Oberhausen an d.Nahe;-;-;-
2010;0713306075;Oberstreit;2;1;1
2010;0713306086;Roxheim;17;10;7
2010;0713306088;Sankt Katharinen;2;2;0
2010;0713306089;Schloßböckelheim;4;1;3
2010;0713306098;Sommerloch;3;1;2
2010;0713306099;Spabrücken;21;12;9
2010;0713306100;Spall;0;0;0
2010;0713306101;Sponheim;9;5;4
2010;0713306105;Traisen;-;-;-
2010;0713306107;Waldböckelheim;21;9;12
2010;0713306109;Wallhausen, Kr Bad Kreuznach;22;10;12
2010;0713306112;Weinsheim, Kr Bad Kreuznach;18;8;10
2010;0713306115;Winterbach, Kr Bad Kreuznach;5;1;4
2010;0713306117;Rüdesheim;20;8;12
2010;0713307;Bad Sobernheim, Verbandsgem.;210;100;110
2010;0713307005;Auen;2;1;1
2010;0713307009;Bärweiler;4;2;2
2010;0713307022;Daubach, Hunsrück;2;0;2
2010;0713307050;Ippenschied;0;0;0
2010;0713307053;Kirschroth;7;3;4
2010;0713307055;Langenthal;0;0;0
2010;0713307057;Lauschied;10;6;4
2010;0713307062;Martinstein;6;3;3
2010;0713307064;Meddersheim;15;6;9
2010;0713307066;Merxheim;9;6;3
2010;0713307067;Monzingen;15;4;11
2010;0713307072;Nußbaum;2;0;2
2010;0713307076;Odernheim am Glan;16;6;10
2010;0713307082;Rehbach;0;0;0
2010;0713307094;Seesbach;2;1;1
2010;0713307102;Staudernheim;16;10;6
2010;0713307111;Weiler bei Monzingen;5;4;1
2010;0713307116;Winterburg;2;1;1
2010;0713307501;Bad Sobernheim;97;47;50
2010;0713308;Stromberg, Verbandsgem.;106;52;54
2010;0713308023;Daxweiler;5;4;1
2010;0713308025;Dörrebach;6;3;3
2010;0713308028;Eckenroth;1;0;1
2010;0713308085;Roth b Stromberg, Hunsrück;4;2;2
2010;0713308091;Schöneberg, Hunsrück;4;1;3
2010;0713308093;Schweppenhausen;6;4;2
2010;0713308095;Seibersbach;23;12;11
2010;0713308103;Stromberg;49;22;27
2010;0713308108;Waldlaubersheim;6;3;3
2010;0713308110;Warmsroth;2;1;1
2010;0713400045;Idar-Oberstein, verbandsfr. Gemeinde;461;213;248
2010;0713401;Baumholder, Verbandsgem.;137;55;82
2010;0713401005;Baumholder;63;22;41
2010;0713401007;Berglangenbach;4;1;3
2010;0713401008;Berschweiler bei Baumholder;4;2;2
2010;0713401021;Eckersweiler;1;1;0
2010;0713401026;Fohren-Linden;1;1;0
2010;0713401027;Frauenberg;3;2;1
2010;0713401033;Hahnweiler;3;2;1
2010;0713401036;Heimbach, Nahe;23;11;12
2010;0713401051;Leitzweiler;0;0;0
2010;0713401054;Mettweiler;4;1;3
2010;0713401068;Reichenbach, Kr Birkenfeld, Nahe;8;4;4
2010;0713401073;Rohrbach, Nahe;8;4;4
2010;0713401074;Rückweiler;2;0;2
2010;0713401075;Ruschberg;13;4;9
2010;0713402;Birkenfeld, Verbandsgem.;200;113;87
2010;0713402001;Abentheuer;6;5;1
2010;0713402002;Achtelsbach;4;2;2
2010;0713402010;Birkenfeld, Nahe;72;38;34
2010;0713402011;Börfink;2;2;0
2010;0713402015;Brücken;9;4;5
2010;0713402016;Buhlenberg;3;3;0
2010;0713402018;Dambach;1;1;0
2010;0713402020;Dienstweiler;1;0;1
2010;0713402022;Elchweiler;1;1;0
2010;0713402023;Ellenberg b Birkenfeld, Nahe;0;0;0
2010;0713402024;Ellweiler;4;2;2
2010;0713402029;Gimbweiler;4;3;1
2010;0713402031;Gollenberg;0;0;0
2010;0713402034;Hattgenstein;5;2;3
2010;0713402042;Hoppstädten-Weiersbach;29;16;13
2010;0713402048;Kronweiler;4;1;3
2010;0713402050;Leisel;5;4;1
2010;0713402053;Meckenbach Kr Birkenfeld, Nahe;0;0;0
2010;0713402057;Niederbrombach;6;4;2
2010;0713402058;Niederhambach;3;2;1
2010;0713402061;Nohen;1;1;0
2010;0713402062;Oberbrombach;10;5;5
2010;0713402063;Oberhambach;1;1;0
2010;0713402070;Rimsberg;0;0;0
2010;0713402071;Rinzenberg;8;5;3
2010;0713402072;Rötsweiler-Nockenthal;7;3;4
2010;0713402078;Schmißberg;1;0;1
2010;0713402080;Schwollen;4;2;2
2010;0713402084;Siesbach;4;2;2
2010;0713402085;Sonnenberg-Winnenberg;3;2;1
2010;0713402094;Wilzenberg-Hußweiler;2;2;0
2010;0713403;Herrstein, Verbandsgem.;184;86;98
2010;0713403003;Allenbach;7;4;3
2010;0713403006;Bergen b Kirn, Nahe;2;2;0
2010;0713403009;Berschweiler bei Kirn;3;2;1
2010;0713403013;Breitenthal  b Idar Oberstein;2;0;2
2010;0713403014;Bruchweiler;6;5;1
2010;0713403019;Dickesbach;6;2;4
2010;0713403025;Fischbach b Idar-Oberstein;9;4;5
2010;0713403028;Gerach b Idar-Oberstein;2;1;1
2010;0713403032;Griebelschied;0;0;0
2010;0713403038;Herborn b Idar-Oberstein;4;1;3
2010;0713403039;Herrstein;27;8;19
2010;0713403040;Hettenrodt;8;5;3
2010;0713403041;Hintertiefenbach;2;1;1
2010;0713403046;Kempfeld;8;5;3
2010;0713403047;Kirschweiler;29;13;16
2010;0713403052;Mackenrodt;1;0;1
2010;0713403055;Mittelreidenbach;4;1;3
2010;0713403056;Mörschied;2;0;2
2010;0713403059;Niederhosenbach;5;3;2
2010;0713403060;Niederwörresbach;7;4;3
2010;0713403064;Oberhosenbach;0;0;0
2010;0713403066;Oberreidenbach;7;2;5
2010;0713403067;Oberwörresbach;0;0;0
2010;0713403077;Schmidthachenbach;2;0;2
2010;0713403081;Sensweiler;5;4;1
2010;0713403082;Sien;8;3;5
2010;0713403083;Sienhachenbach;3;1;2
2010;0713403086;Sonnschied;0;0;0
2010;0713403089;Veitsrodt;14;7;7
2010;0713403090;Vollmersbach;3;3;0
2010;0713403091;Weiden;1;0;1
2010;0713403093;Wickenrodt;1;1;0
2010;0713403095;Wirschweiler;4;2;2
2010;0713403502;Langweiler b Idar-Oberstein;2;2;0
2010;0713404;Rhaunen, Verbandsgem.;95;49;46
2010;0713404004;Asbach, Hunsrück;6;1;5
2010;0713404012;Bollenbach;0;0;0
2010;0713404017;Bundenbach;12;8;4
2010;0713404030;Gösenroth;5;2;3
2010;0713404035;Hausen, Hunsrück;1;0;1
2010;0713404037;Hellertshausen;4;2;2
2010;0713404043;Horbruch;3;1;2
2010;0713404044;Hottenbach;4;2;2
2010;0713404049;Krummenau;0;0;0
2010;0713404065;Oberkirn;6;4;2
2010;0713404069;Rhaunen;27;12;15
2010;0713404076;Schauren b Idar-Oberstein;5;3;2
2010;0713404079;Schwerbach;1;1;0
2010;0713404087;Stipshausen;17;9;8
2010;0713404088;Sulzbach b Idar-Oberstein;2;2;0
2010;0713404092;Weitersbach;2;2;0
2010;0713500020;Cochem, verbandsfr. Gemeinde;-;-;-
2010;0713501;Cochem-Land, Verbandsgem.;179;97;82
2010;0713501007;Beilstein, Mosel;2;2;0
2010;0713501012;Bremm;9;5;4
2010;0713501015;Briedern;1;0;1
2010;0713501017;Bruttig-Fankel;11;5;6
2010;0713501020;Cochem, Stadt;83;39;44
2010;0713501021;Dohr;4;2;2
2010;0713501024;Ediger-Eller;10;6;4
2010;0713501025;Ellenz-Poltersdorf;9;6;3
2010;0713501027;Ernst;6;4;2
2010;0713501029;Faid;11;7;4
2010;0713501036;Greimersburg;3;1;2
2010;0713501049;Klotten;12;7;5
2010;0713501053;Lieg;-;-;-
2010;0713501056;Lütz;-;-;-
2010;0713501060;Mesenich;3;3;0
2010;0713501065;Moselkern;-;-;-
2010;0713501066;Müden (Mosel);-;-;-
2010;0713501069;Nehren, Mosel;2;1;1
2010;0713501072;Pommern;-;-;-
2010;0713501079;Senheim;6;3;3
2010;0713501082;Treis-Karden;-;-;-
2010;0713501086;Valwig;6;5;1
2010;0713501090;Wirfus;1;1;0
2010;0713502;Kaisersesch, Verbandsgem.;155;76;79
2010;0713502009;Binningen;-;-;-
2010;0713502011;Brachtendorf;4;3;1
2010;0713502014;Brieden;-;-;-
2010;0713502016;Brohl;-;-;-
2010;0713502022;Dünfus;-;-;-
2010;0713502023;Düngenheim;28;17;11
2010;0713502026;Eppenberg;5;3;2
2010;0713502028;Eulgem;2;1;1
2010;0713502031;Forst (Eifel);-;-;-
2010;0713502033;Gamlen;2;0;2
2010;0713502038;Hambuch;5;3;2
2010;0713502040;Hauroth;7;4;3
2010;0713502042;Illerich;5;3;2
2010;0713502043;Kaifenheim;2;2;0
2010;0713502044;Kail;-;-;-
2010;0713502045;Kaisersesch;53;19;34
2010;0713502046;Kalenborn b Kaisersesch;3;2;1
2010;0713502051;Landkern;10;5;5
2010;0713502052;Laubach, Eifel;7;2;5
2010;0713502058;Masburg;8;5;3
2010;0713502062;Möntenich;-;-;-
2010;0713502067;Müllenbach b Mayen;4;1;3
2010;0713502075;Roes;-;-;-
2010;0713502084;Urmersbach;3;2;1
2010;0713502093;Zettingen;1;0;1
2010;0713502502;Leienkaul;6;4;2
2010;0713503;Ulmen, Verbandsgem.;137;70;67
2010;0713503002;Alflen;3;2;1
2010;0713503005;Auderath;5;3;2
2010;0713503008;Beuren, Eifel;5;3;2
2010;0713503018;Büchel b Cochem;7;5;2
2010;0713503030;Filz;0;0;0
2010;0713503034;Gevenich;3;0;3
2010;0713503035;Gillenbeuren;4;3;1
2010;0713503048;Kliding;0;0;0
2010;0713503057;Lutzerath;30;15;15
2010;0713503078;Schmitt;1;1;0
2010;0713503083;Ulmen;52;26;26
2010;0713503085;Urschmitt;2;1;1
2010;0713503087;Wagenhausen;4;1;3
2010;0713503089;Weiler b Gevenich, Eifel;1;0;1
2010;0713503091;Wollmerath;2;1;1
2010;0713503501;Bad Bertrich;18;9;9
2010;0713504;Treis-Karden, Verbandsgem.;130;62;68
2010;0713504009;Binningen;6;4;2
2010;0713504014;Brieden;2;0;2
2010;0713504016;Brohl;5;1;4
2010;0713504022;Dünfus;8;3;5
2010;0713504031;Forst (Eifel);5;5;0
2010;0713504044;Kail;3;1;2
2010;0713504050;Lahr, Hunsrück;0;0;0
2010;0713504053;Lieg;5;4;1
2010;0713504056;Lütz;2;0;2
2010;0713504062;Möntenich;3;2;1
2010;0713504063;Mörsdorf, Hunsrück;11;9;2
2010;0713504065;Moselkern;9;4;5
2010;0713504066;Müden (Mosel);6;3;3
2010;0713504072;Pommern;9;3;6
2010;0713504075;Roes;7;2;5
2010;0713504082;Treis-Karden;45;19;26
2010;0713504094;Zilshausen;4;2;2
2010;0713505;Zell (Mosel), Verbandsgem.;202;96;106
2010;0713505001;Alf;22;7;15
2010;0713505003;Altlay;5;1;4
2010;0713505004;Altstrimmig;6;6;0
2010;0713505010;Blankenrath;35;11;24
2010;0713505013;Briedel;15;9;6
2010;0713505019;Bullay;14;8;6
2010;0713505032;Forst (Hunsrück);0;0;0
2010;0713505037;Grenderich;8;7;1
2010;0713505039;Haserich;1;0;1
2010;0713505041;Hesweiler;0;0;0
2010;0713505054;Liesenich;5;3;2
2010;0713505061;Mittelstrimmig;5;1;4
2010;0713505064;Moritzheim;2;1;1
2010;0713505068;Neef;5;3;2
2010;0713505070;Panzweiler;0;0;0
2010;0713505071;Peterswald-Löffelscheid;6;2;4
2010;0713505073;Pünderich;11;6;5
2010;0713505074;Reidenhausen;0;0;0
2010;0713505076;Sankt Aldegund;5;2;3
2010;0713505077;Schauren b Blankenrath;4;1;3
2010;0713505080;Sosberg;2;1;1
2010;0713505081;Tellig;1;1;0
2010;0713505088;Walhausen;1;1;0
2010;0713505092;Zell (Mosel);49;25;24
2010;0713700003;Andernach, verbandsfr. Gemeinde;371;175;196
2010;0713700068;Mayen, verbandsfr. Gemeinde;273;133;140
2010;0713700203;Bendorf, Rhein, verbandsfr. Gemeinde;177;105;72
2010;0713701;Pellenz, Verbandsgem.;172;88;84
2010;0713701056;Kretz;5;4;1
2010;0713701057;Kruft;27;11;16
2010;0713701081;Nickenich;30;16;14
2010;0713701088;Plaidt;81;39;42
2010;0713701096;Saffig;29;18;11
2010;0713702;Maifeld, Verbandsgem.;242;110;132
2010;0713702023;Einig;0;0;0
2010;0713702027;Gappenach;5;3;2
2010;0713702029;Gering;0;0;0
2010;0713702030;Gierschnach;4;3;1
2010;0713702041;Kalt;2;2;0
2010;0713702048;Kerben;1;1;0
2010;0713702053;Kollig;4;4;0
2010;0713702065;Lonnig;9;4;5
2010;0713702070;Mertloch;9;5;4
2010;0713702080;Naunheim;2;0;2
2010;0713702086;Ochtendung;68;35;33
2010;0713702087;Pillig;1;0;1
2010;0713702089;Polch;52;15;37
2010;0713702095;Rüber;7;5;2
2010;0713702102;Trimbs;7;6;1
2010;0713702112;Welling;10;2;8
2010;0713702114;Wierschem;1;0;1
2010;0713702501;Münstermaifeld;60;25;35
2010;0713703;Vordereifel, Verbandsgem.;172;103;69
2010;0713703001;Acht;3;3;0
2010;0713703004;Anschau;2;1;1
2010;0713703006;Arft;2;2;0
2010;0713703007;Baar;9;5;4
2010;0713703011;Bermel;4;2;2
2010;0713703014;Boos, Eifel;3;3;0
2010;0713703019;Ditscheid;3;2;1
2010;0713703025;Ettringen, Eifel;23;14;9
2010;0713703034;Hausten;0;0;0
2010;0713703035;Herresbach;3;2;1
2010;0713703036;Hirten;6;3;3
2010;0713703043;Kehrig;11;7;4
2010;0713703049;Kirchwald;7;4;3
2010;0713703055;Kottenheim;38;18;20
2010;0713703060;Langenfeld, Eifel;10;6;4
2010;0713703061;Langscheid;1;0;1
2010;0713703063;Lind b Mayen;0;0;0
2010;0713703066;Luxem;4;4;0
2010;0713703074;Monreal;8;3;5
2010;0713703077;Münk;5;3;2
2010;0713703079;Nachtsheim;3;3;0
2010;0713703092;Reudelsterz;8;4;4
2010;0713703097;Sankt Johann b Mayen;8;6;2
2010;0713703099;Siebenbach;1;1;0
2010;0713703105;Virneburg;5;4;1
2010;0713703110;Weiler b Mayen;5;3;2
2010;0713703113;Welschenbach;0;0;0
2010;0713704;Mendig, Verbandsgem.;157;76;81
2010;0713704008;Bell;20;9;11
2010;0713704069;Mendig;106;51;55
2010;0713704093;Rieden, Eifel;8;6;2
2010;0713704101;Thür;17;8;9
2010;0713704106;Volkesfeld;6;2;4
2010;0713705;Rhens, Verbandsgem.;61;33;28
2010;0713705204;Brey;14;9;5
2010;0713705221;Rhens;21;11;10
2010;0713705223;Spay;14;9;5
2010;0713705227;Waldesch;12;4;8
2010;0713706;Untermosel, Verbandsgem.;171;75;96
2010;0713706201;Alken;8;4;4
2010;0713706205;Brodenbach;9;4;5
2010;0713706206;Burgen, Mosel;6;3;3
2010;0713706207;Dieblich;24;10;14
2010;0713706208;Hatzenport;11;1;10
2010;0713706212;Kobern-Gondorf;25;12;13
2010;0713706214;Löf;10;6;4
2010;0713706215;Macken;2;1;1
2010;0713706217;Niederfell;11;2;9
2010;0713706219;Nörtershausen;8;3;5
2010;0713706220;Oberfell;11;6;5
2010;0713706230;Winningen, Mosel;34;17;17
2010;0713706231;Wolken;4;2;2
2010;0713706504;Lehmen;8;4;4
2010;0713707;Vallendar, Verbandsgem.;201;88;113
2010;0713707218;Niederwerth;13;8;5
2010;0713707224;Urbar b Koblenz am Rhein;24;17;7
2010;0713707226;Vallendar;148;54;94
2010;0713707229;Weitersburg;16;9;7
2010;0713708;Weißenthurm, Verbandsgem.;303;151;152
2010;0713708202;Bassenheim;21;11;10
2010;0713708209;Kaltenengers;17;10;7
2010;0713708211;Kettig;27;9;18
2010;0713708216;Mülheim-Kärlich;95;48;47
2010;0713708222;Sankt Sebastian;10;8;2
2010;0713708225;Urmitz;31;14;17
2010;0713708228;Weißenthurm;102;51;51
2010;0713709;Rhein-Mosel;-;-;-
2010;0713709201;Alken;-;-;-
2010;0713709204;Brey;-;-;-
2010;0713709205;Brodenbach;-;-;-
2010;0713709206;Burgen;-;-;-
2010;0713709207;Dieblich;-;-;-
2010;0713709208;Hatzenport;-;-;-
2010;0713709212;Kobern-Gondorf;-;-;-
2010;0713709214;Löf;-;-;-
2010;0713709215;Macken;-;-;-
2010;0713709217;Niederfell;-;-;-
2010;0713709219;Nörtershausen;-;-;-
2010;0713709220;Oberfell;-;-;-
2010;0713709221;Rhens;-;-;-
2010;0713709223;Spay;-;-;-
2010;0713709227;Waldesch;-;-;-
2010;0713709230;Winningen;-;-;-
2010;0713709231;Wolken;-;-;-
2010;0713709504;Lehmen;-;-;-
2010;0713800045;Neuwied, verbandsfr. Gemeinde;744;329;415
2010;0713801;Asbach, Verbandsgem.;208;102;106
2010;0713801003;Asbach, Westerwald;70;38;32
2010;0713801044;Neustadt (Wied);78;34;44
2010;0713801077;Windhagen;28;12;16
2010;0713801080;Buchholz (Westerwald);32;18;14
2010;0713802;Bad Hönningen, Verbandsgem.;132;60;72
2010;0713802004;Bad Hönningen;61;29;32
2010;0713802024;Hammerstein;4;3;1
2010;0713802038;Leutesdorf;14;4;10
2010;0713802063;Rheinbrohl;53;24;29
2010;0713803;Dierdorf, Verbandsgem.;116;57;59
2010;0713803012;Dierdorf;60;27;33
2010;0713803023;Großmaischeid;30;14;16
2010;0713803031;Isenburg;7;1;6
2010;0713803034;Kleinmaischeid;12;10;2
2010;0713803069;Stebach;4;2;2
2010;0713803201;Marienhausen;3;3;0
2010;0713804;Linz am Rhein, Verbandsgem.;187;81;106
2010;0713804009;Dattenberg;13;5;8
2010;0713804037;Leubsdorf, Rhein;12;4;8
2010;0713804041;Linz am Rhein;110;42;68
2010;0713804055;Ockenfels;12;7;5
2010;0713804068;St. Katharinen (Landkreis Neuwied);16;9;7
2010;0713804075;Vettelschoß;14;9;5
2010;0713804501;Kasbach-Ohlenberg;10;5;5
2010;0713805;Puderbach, Verbandsgem.;176;95;81
2010;0713805011;Dernbach b Dierdorf;16;4;12
2010;0713805013;Döttesfeld;13;5;8
2010;0713805014;Dürrholz;15;8;7
2010;0713805025;Hanroth;11;6;5
2010;0713805027;Harschbach;1;0;1
2010;0713805040;Linkenbach;6;3;3
2010;0713805048;Niederhofen;3;1;2
2010;0713805050;Niederwambach;3;2;1
2010;0713805052;Oberdreis;11;8;3
2010;0713805057;Puderbach;39;20;19
2010;0713805058;Ratzert;1;1;0
2010;0713805059;Raubach;18;14;4
2010;0713805064;Rodenbach bei Puderbach;8;4;4
2010;0713805070;Steimel;13;9;4
2010;0713805074;Urbach, Westerwald;12;6;6
2010;0713805078;Woldert;6;4;2
2010;0713806;Rengsdorf, Verbandsgem.;164;81;83
2010;0713806002;Anhausen;10;6;4
2010;0713806005;Bonefeld;6;2;4
2010;0713806015;Ehlscheid;11;6;5
2010;0713806026;Hardert;12;8;4
2010;0713806030;Hümmerich;11;5;6
2010;0713806036;Kurtscheid;8;4;4
2010;0713806042;Meinborn;7;2;5
2010;0713806043;Melsbach;25;12;13
2010;0713806053;Oberhonnefeld-Gierend;10;4;6
2010;0713806054;Oberraden;5;3;2
2010;0713806061;Rengsdorf;21;9;12
2010;0713806066;Rüscheid;4;1;3
2010;0713806071;Straßenhaus;29;17;12
2010;0713806072;Thalhausen;5;2;3
2010;0713807;Unkel, Verbandsgem.;141;61;80
2010;0713807008;Bruchhausen;2;1;1
2010;0713807019;Erpel;21;12;9
2010;0713807062;Rheinbreitbach;33;16;17
2010;0713807073;Unkel;85;32;53
2010;0713808;Waldbreitbach, Verbandsgem.;99;46;53
