GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0733306009;Börrstadt;417;3;16;19;92;66;88;127
0733306011;Breunigweiler;213;3;3;33;35;40;40;59
0733306020;Falkenstein, Pfalz;241;3;27;51;51;51;21;34
0733306027;Gonbach;243;-;-;22;27;43;66;76
0733306030;Höringen;318;-;16;15;29;77;67;105
0733306033;Imsbach;475;3;26;48;101;83;86;121
0733306042;Lohnsfeld;445;3;33;53;78;94;47;134
0733306048;Münchweiler an der Alsenz;609;3;29;40;87;134;158;146
0733306069;Schweisweiler;199;-;-;31;26;42;38;56
0733306071;Sippersfeld;540;7;21;48;103;110;111;134
0733306075;Steinbach am Donnersberg;351;-;6;16;65;90;82;89
0733306080;Wartenberg-Rohrbach;240;-;3;39;50;38;38;69
0733306503;Winnweiler;2285;32;94;261;491;420;385;565
0733400007;Germersheim, verbandsfr. Gemeinde;9564;774;1105;2106;2224;1496;850;1009
0733400501;Wörth am Rhein, verbandsfr. Gemeinde;8340;156;613;1476;1920;1625;1162;1385
0733401;Bellheim, Verbandsgem.;6071;76;334;715;1197;1242;1191;1316
0733401001;Bellheim;3894;54;272;484;788;802;713;781
0733401014;Knittelsheim;416;-;6;43;93;63;108;103
0733401023;Ottersheim bei Landau;792;3;16;72;164;178;167;192
0733401036;Zeiskam;969;19;40;116;152;199;203;240
0733402;Hagenbach, Verbandsgem.;4821;25;212;552;996;1072;935;1029
0733402002;Berg (Pfalz);962;10;33;100;176;221;203;219
0733402008;Hagenbach;2347;12;142;303;506;490;431;463
0733402021;Neuburg am Rhein;1206;3;19;116;266;287;232;283
0733402027;Scheibenhardt;306;-;18;33;48;74;69;64
0733403;Jockgrim, Verbandsgem.;7473;107;463;990;1389;1538;1414;1572
0733403009;Hatzenbühl;1180;4;47;162;213;228;229;297
0733403012;Jockgrim;3311;55;275;526;654;676;545;580
0733403022;Neupotz;785;6;33;57;111;146;200;232
0733403024;Rheinzabern;2197;42;108;245;411;488;440;463
0733404;Kandel, Verbandsgem.;7227;73;431;950;1438;1537;1247;1551
0733404004;Erlenbach bei Kandel;333;-;9;31;55;106;57;75
0733404005;Freckenfeld;733;-;28;52;137;158;138;220
0733404013;Kandel;4122;57;339;674;906;840;602;704
0733404020;Minfeld;701;-;26;82;125;146;145;177
0733404030;Steinweiler;791;9;19;74;136;158;195;200
0733404031;Vollmersweiler;93;3;-;6;9;18;19;38
0733404034;Winden, Pfalz;454;4;10;31;70;111;91;137
0733405;Lingenfeld, Verbandsgem.;6907;46;252;675;1293;1619;1370;1649
0733405006;Freisbach;452;3;9;51;76;98;102;113
0733405017;Lingenfeld;2449;20;126;298;510;588;452;452
0733405018;Lustadt;1408;3;30;120;228;373;286;368
0733405028;Schwegenheim;1165;10;26;104;178;239;259;349
0733405032;Weingarten (Pfalz);702;7;31;43;122;173;127;199
0733405033;Westheim (Pfalz);731;3;30;59;179;148;144;168
0733406;Rülzheim, Verbandsgem.;6824;60;305;773;1230;1441;1389;1626
0733406011;Hördt;1114;3;23;105;204;278;246;255
0733406015;Kuhardt;875;9;31;95;120;179;180;261
0733406016;Leimersheim;1176;6;30;103;154;226;293;364
0733406025;Rülzheim;3659;42;221;470;752;758;670;746
0733501;Bruchmühlbach-Miesau, Verbandsgem.;5076;29;176;536;866;935;906;1337
0733501003;Bruchmühlbach-Miesau;3861;29;161;456;670;724;667;907
0733501011;Gerhardsbrunn;84;-;-;-;12;19;24;25
0733501201;Lambsborn;367;-;-;34;60;51;61;143
0733501202;Langwieden;111;-;9;9;18;28;13;31
0733501203;Martinshöhe;653;-;6;37;106;113;141;231
0733502;Enkenbach-Alsenborn, Verbandsgem.;6355;32;221;729;1301;1337;1118;1388
0733502004;Enkenbach-Alsenborn;3388;16;115;421;711;673;627;728
0733502007;Fischbach;-;-;-;-;-;-;-;-
0733502010;Frankenstein;-;-;-;-;-;-;-;-
0733502015;Hochspeyer;-;-;-;-;-;-;-;-
0733502026;Mehlingen;1912;9;67;222;388;418;300;439
0733502028;Neuhemsbach;411;4;12;36;69;121;70;86
0733502048;Waldleiningen;-;-;-;-;-;-;-;-
0733502205;Sembach;644;3;27;50;133;125;121;135
0733503;Hochspeyer, Verbandsgem.;3378;15;88;382;694;749;586;790
0733503007;Fischbach, Kr Kaiserslautern;379;3;9;50;58;85;61;107
0733503010;Frankenstein, Pfalz;513;3;6;51;117;95;95;140
0733503015;Hochspeyer;2298;9;67;269;500;524;398;469
0733503048;Waldleiningen;188;-;6;12;19;45;32;74
0733504;Kaiserslautern-Süd, Verbandsgem.;5867;169;208;612;993;1106;1007;1507
0733504021;Krickenbach;592;-;13;58;91;140;116;153
0733504023;Linden, Pfalz;620;3;8;56;105;124;118;176
0733504037;Queidersbach;1582;53;54;144;254;281;241;434
0733504045;Stelzenberg;630;9;13;67;119;101;143;167
0733504047;Trippstadt;1657;91;94;211;291;339;234;367
0733504204;Schopp;786;13;26;76;133;121;155;210
0733505;Landstuhl, Verbandsgem.;8958;196;479;1116;1793;1705;1208;1758
0733505002;Bann;1160;3;45;85;161;212;191;346
0733505012;Hauptstuhl;645;-;21;72;107;156;100;149
0733505018;Kindsbach;1468;6;40;161;241;279;224;319
0733505022;Landstuhl, Sickingenstadt;5097;187;363;762;1194;945;584;749
0733505027;Mittelbrunn;358;-;7;27;49;70;64;119
0733505031;Oberarnbach;230;-;3;9;41;43;45;76
0733506;Otterbach, Verbandsgem.;4856;70;120;486;875;1063;904;1157
0733506009;Frankelbach;167;-;-;15;31;23;46;49
0733506014;Hirschhorn/Pfalz;398;-;15;22;75;117;60;87
0733506017;Katzweiler;924;3;15;153;166;208;156;196
0733506025;Mehlbach;642;50;10;22;100;119;113;196
0733506033;Olsbrücken;550;4;18;51;118;89;121;131
0733506034;Otterbach;1932;10;53;214;355;449;357;422
0733506046;Sulzbachtal;243;3;9;9;30;58;51;76
0733507;Otterberg, Verbandsgem.;4744;50;140;494;914;991;806;1194
0733507013;Heiligenmoschel;321;-;-;21;45;79;55;107
0733507029;Niederkirchen;1014;7;37;104;149;197;194;311
0733507035;Otterberg;2645;40;77;312;551;561;433;576
0733507041;Schallodenbach;489;3;13;25;113;100;82;126
0733507042;Schneckenhausen;275;-;13;32;56;54;42;74
0733508;Ramstein-Miesenbach, Verbandsgem.;10100;58;262;1023;1846;1894;1577;2233
0733508016;Hütschenhausen;2193;-;30;177;345;395;421;586
0733508020;Kottweiler-Schwanden;722;9;12;69;91;162;124;185
0733508030;Niedermohr;804;-;12;54;109;148;144;247
0733508038;Ramstein-Miesenbach;4895;37;169;583;1045;909;676;855
0733508044;Steinwenden;1486;12;39;140;256;280;212;360
0733509;Weilerbach, Verbandsgem.;8108;40;234;726;1273;1562;1406;1855
0733509005;Erzenhausen;430;3;14;28;48;63;102;122
0733509006;Eulenbis;273;-;12;32;41;42;49;60
0733509019;Kollweiler;285;-;9;16;35;62;40;85
0733509024;Mackenbach;1401;6;30;104;209;261;227;308
0733509040;Rodenbach, Kr Kaiserslautern;1783;7;37;171;310;354;325;374
0733509043;Schwedelbach;675;9;15;30;78;109;132;181
0733509049;Weilerbach;2443;15;105;282;415;518;393;499
0733509501;Reichenbach-Steegen;818;-;12;63;137;153;138;226
0733510;Otterbach-Otterberg;-;-;-;-;-;-;-;-
0733510009;Frankelbach;-;-;-;-;-;-;-;-
0733510013;Heiligenmoschel;-;-;-;-;-;-;-;-
0733510014;Hirschhorn/Pfalz;-;-;-;-;-;-;-;-
0733510017;Katzweiler;-;-;-;-;-;-;-;-
0733510025;Mehlbach;-;-;-;-;-;-;-;-
0733510029;Niederkirchen;-;-;-;-;-;-;-;-
0733510033;Olsbrücken;-;-;-;-;-;-;-;-
0733510034;Otterbach;-;-;-;-;-;-;-;-
0733510035;Otterberg, Stadt;-;-;-;-;-;-;-;-
0733510041;Schallodenbach;-;-;-;-;-;-;-;-
0733510042;Schneckenhausen;-;-;-;-;-;-;-;-
0733510046;Sulzbachtal;-;-;-;-;-;-;-;-
0733601;Altenglan, Verbandsgem.;5190;6;105;455;817;1014;1061;1594
0733601003;Altenglan;1433;-;40;145;228;301;314;377
0733601009;Bosenbach;370;-;3;29;60;82;67;123
0733601021;Elzweiler;70;-;-;13;18;6;21;12
0733601022;Erdesbach;280;-;6;23;25;46;60;120
0733601025;Föckelberg;206;-;-;9;25;37;55;59
0733601046;Horschbach;126;-;-;16;29;24;22;35
0733601066;Neunkirchen am Potzberg;250;3;9;21;43;30;43;82
0733601067;Niederalben;158;-;-;7;28;27;41;51
0733601068;Niederstaufenbach;156;-;3;11;27;29;27;49
0733601071;Oberstaufenbach;201;-;-;12;25;22;25;77
0733601079;Rammelsbach;817;-;23;87;123;175;177;232
0733601081;Rathsweiler;69;-;-;10;14;10;19;16
0733601089;Rutsweiler am Glan;178;-;-;6;29;52;28;60
0733601099;Ulmet;371;3;9;40;55;65;69;127
0733601103;Welchweiler;112;-;3;4;19;18;34;34
0733601106;Bedesbach;393;-;9;22;69;90;59;140
0733602;Glan-Münchweiler, Verbandsgem.;4779;18;59;360;748;948;901;1530
0733602008;Börsborn;197;-;4;15;31;44;34;63
0733602031;Glan-Münchweiler;664;12;10;57;116;120;128;184
0733602037;Henschtal;189;-;-;3;24;29;40;69
0733602041;Herschweiler-Pettersheim;625;-;-;18;120;128;120;227
0733602047;Hüffler;276;-;9;34;31;55;50;94
0733602054;Krottelbach;325;-;6;29;50;55;79;103
0733602056;Langenbach, Pfalz;222;-;3;9;28;54;36;83
0733602064;Nanzdietschweiler;602;-;4;43;79;139;117;184
0733602082;Rehweiler;240;6;7;15;22;59;28;89
0733602096;Steinbach am Glan;513;-;3;53;92;104;81;145
0733602101;Wahnwegen;315;-;4;18;61;47;72;113
0733602107;Matzenbach;346;-;3;45;60;76;64;80
0733602501;Quirnbach/Pfalz;265;-;6;21;34;38;52;96
0733603;Kusel, Verbandsgem.;6907;32;288;909;1178;1290;1191;1899
0733603002;Albessen;70;-;-;6;6;6;28;24
0733603006;Blaubach;221;-;6;28;24;64;34;62
0733603015;Dennweiler-Frohnbach;130;-;-;9;15;21;22;63
0733603018;Ehweiler;93;-;-;6;9;25;18;26
0733603024;Etschberg;334;-;7;38;44;58;77;104
0733603034;Haschbach am Remigiusberg;347;-;3;25;61;76;57;110
0733603039;Herchweiler;254;3;-;37;33;60;51;70
0733603051;Körborn;163;-;3;3;22;40;39;56
0733603052;Konken;411;-;13;43;57;87;78;120
0733603055;Kusel;2746;16;207;540;573;490;396;494
0733603070;Oberalben;112;-;-;13;6;21;19;53
0733603077;Pfeffelbach;461;4;14;27;65;97;101;147
0733603084;Reichweiler;253;-;3;13;41;32;55;102
0733603088;Ruthweiler;239;-;10;17;53;48;20;78
0733603091;Schellweiler;251;6;3;33;24;36;56;90
0733603094;Selchenbach;168;-;6;9;19;25;37;72
0733603097;Thallichtenberg;302;3;7;23;70;53;48;89
0733603098;Theisbergstegen;352;-;6;39;56;51;55;139
0733604;Lauterecken, Verbandsgem.;5398;36;156;508;838;1043;1012;1799
0733604001;Adenbach;77;-;3;-;6;28;6;34
0733604012;Buborn;71;9;9;6;6;9;10;22
0733604013;Cronenberg;93;-;3;6;26;12;15;31
0733604014;Deimberg;33;-;-;-;0;4;3;26
0733604029;Ginsweiler;145;-;10;-;15;20;45;55
0733604030;Glanbrücken;226;-;-;26;51;41;41;67
0733604033;Grumbach;263;-;12;31;41;47;54;78
0733604035;Hausweiler;40;-;-;-;9;7;12;12
0733604038;Heinzenhausen;130;-;3;7;22;16;40;42
0733604040;Herren-Sulzbach;79;-;3;9;7;6;10;44
0733604043;Hohenöllen;184;3;3;22;12;48;36;60
0733604044;Homberg b Lauterecken;98;-;-;7;6;18;34;33
0733604045;Hoppstädten;132;-;-;6;10;14;19;83
0733604049;Kappeln b Lauterecken;80;-;3;4;-;3;22;48
0733604050;Kirrweiler;76;-;4;-;8;12;21;31
0733604057;Langweiler b Lauterecken;132;-;3;3;18;28;36;44
0733604058;Lauterecken;1095;21;49;161;206;204;172;279
0733604060;Lohnweiler;198;-;-;15;45;32;49;57
0733604061;Medard;258;-;6;15;39;69;47;82
0733604062;Merzweiler;81;-;-;3;-;19;9;50
0733604065;Nerzweiler;58;-;-;3;10;17;7;21
0733604074;Odenbach;437;-;10;40;66;92;79;150
0733604075;Offenbach-Hundheim;615;3;22;93;99;142;93;163
0733604095;Sankt Julian;552;-;10;42;91;102;108;196
0733604100;Unterjeckenbach;40;-;-;3;9;10;-;18
0733604104;Wiesweiler;205;-;3;6;36;43;44;73
0733605;Schönenberg-Kübelberg, Verbandsgem.;6027;24;205;622;1060;1159;1185;1642
0733605004;Altenkirchen, Pfalz;650;-;20;58;136;137;133;163
0733605011;Brücken (Pfalz);1114;-;30;57;201;221;245;337
0733605016;Dittweiler;407;-;16;34;59;77;94;124
0733605027;Frohnhofen;244;-;9;23;37;50;49;76
0733605032;Gries;524;-;23;53;81;82;103;158
0733605076;Ohmbach;371;-;-;32;54;84;72;119
0733605092;Schönenberg-Kübelberg;2717;24;107;365;492;508;489;665
0733606;Waldmohr, Verbandsgem.;4083;73;167;603;774;807;709;885
0733606010;Breitenbach, Pfalz;966;7;26;94;183;255;188;213
0733606017;Dunzweiler;441;-;6;50;67;78;113;124
0733606102;Waldmohr;2676;66;135;459;524;474;408;548
0733607;Wolfstein, Verbandsgem.;4212;29;127;380;614;799;832;1371
0733607005;Aschbach;147;-;10;4;23;39;30;41
0733607019;Einöllen;229;3;7;17;25;42;66;69
0733607023;Eßweiler;239;3;3;19;17;48;51;98
0733607036;Hefersweiler;271;3;4;18;28;59;44;109
0733607042;Hinzweiler;184;-;4;16;25;28;43;68
0733607048;Jettenbach, Pfalz;470;-;16;26;71;93;98;128
0733607053;Kreimbach-Kaulbach;404;4;7;30;76;59;83;142
0733607069;Nußbach;306;-;3;31;41;69;61;101
0733607072;Oberweiler im Tal;75;-;-;3;11;9;26;26
0733607073;Oberweiler-Tiefenbach;132;-;-;15;18;24;16;59
0733607085;Reipoltskirchen;151;-;3;15;18;30;23;62
0733607086;Relsberg;82;-;-;10;13;3;19;34
0733607087;Rothselberg;347;-;13;24;39;75;73;116
0733607090;Rutsweiler an der Lauter;180;3;6;0;44;35;39;50
0733607105;Wolfstein;995;13;51;152;165;186;160;268
0733608;Lauterecken-Wolfstein;-;-;-;-;-;-;-;-
0733608001;Adenbach;-;-;-;-;-;-;-;-
0733608005;Aschbach;-;-;-;-;-;-;-;-
0733608012;Buborn;-;-;-;-;-;-;-;-
0733608013;Cronenberg;-;-;-;-;-;-;-;-
0733608014;Deimberg;-;-;-;-;-;-;-;-
0733608019;Einöllen;-;-;-;-;-;-;-;-
0733608023;Eßweiler;-;-;-;-;-;-;-;-
0733608029;Ginsweiler;-;-;-;-;-;-;-;-
0733608030;Glanbrücken;-;-;-;-;-;-;-;-
0733608033;Grumbach;-;-;-;-;-;-;-;-
0733608035;Hausweiler;-;-;-;-;-;-;-;-
0733608036;Hefersweiler;-;-;-;-;-;-;-;-
0733608038;Heinzenhausen;-;-;-;-;-;-;-;-
0733608040;Herren-Sulzbach;-;-;-;-;-;-;-;-
0733608042;Hinzweiler;-;-;-;-;-;-;-;-
0733608043;Hohenöllen;-;-;-;-;-;-;-;-
0733608044;Homberg;-;-;-;-;-;-;-;-
0733608045;Hoppstädten;-;-;-;-;-;-;-;-
0733608048;Jettenbach;-;-;-;-;-;-;-;-
0733608049;Kappeln;-;-;-;-;-;-;-;-
0733608050;Kirrweiler;-;-;-;-;-;-;-;-
0733608053;Kreimbach-Kaulbach;-;-;-;-;-;-;-;-
0733608057;Langweiler;-;-;-;-;-;-;-;-
0733608058;Lauterecken;-;-;-;-;-;-;-;-
0733608060;Lohnweiler;-;-;-;-;-;-;-;-
0733608061;Medard;-;-;-;-;-;-;-;-
0733608062;Merzweiler;-;-;-;-;-;-;-;-
0733608065;Nerzweiler;-;-;-;-;-;-;-;-
0733608069;Nußbach;-;-;-;-;-;-;-;-
0733608072;Oberweiler im Tal;-;-;-;-;-;-;-;-
0733608073;Oberweiler-Tiefenbach;-;-;-;-;-;-;-;-
0733608074;Odenbach;-;-;-;-;-;-;-;-
0733608075;Offenbach-Hundheim;-;-;-;-;-;-;-;-
0733608085;Reipoltskirchen;-;-;-;-;-;-;-;-
0733608086;Relsberg;-;-;-;-;-;-;-;-
0733608087;Rothselberg;-;-;-;-;-;-;-;-
0733608090;Rutsweiler an der Lauter;-;-;-;-;-;-;-;-
0733608095;Sankt Julian;-;-;-;-;-;-;-;-
0733608100;Unterjeckenbach;-;-;-;-;-;-;-;-
0733608104;Wiesweiler;-;-;-;-;-;-;-;-
0733608105;Wolfstein;-;-;-;-;-;-;-;-
0733609;Oberes Glantal;-;-;-;-;-;-;-;-
0733609004;Altenkirchen;-;-;-;-;-;-;-;-
0733609008;Börsborn;-;-;-;-;-;-;-;-
0733609010;Breitenbach;-;-;-;-;-;-;-;-
0733609011;Brücken (Pfalz);-;-;-;-;-;-;-;-
0733609016;Dittweiler;-;-;-;-;-;-;-;-
0733609017;Dunzweiler;-;-;-;-;-;-;-;-
0733609027;Frohnhofen;-;-;-;-;-;-;-;-
0733609031;Glan-Münchweiler;-;-;-;-;-;-;-;-
0733609032;Gries;-;-;-;-;-;-;-;-
0733609037;Henschtal;-;-;-;-;-;-;-;-
0733609041;Herschweiler-Petter.;-;-;-;-;-;-;-;-
0733609047;Hüffler;-;-;-;-;-;-;-;-
0733609054;Krottelbach;-;-;-;-;-;-;-;-
0733609056;Langenbach;-;-;-;-;-;-;-;-
0733609064;Nanzdietschweiler;-;-;-;-;-;-;-;-
0733609076;Ohmbach;-;-;-;-;-;-;-;-
0733609082;Rehweiler;-;-;-;-;-;-;-;-
0733609092;Schönenberg-Kübelb.;-;-;-;-;-;-;-;-
0733609096;Steinbach am Glan;-;-;-;-;-;-;-;-
0733609101;Wahnwegen;-;-;-;-;-;-;-;-
0733609102;Waldmohr;-;-;-;-;-;-;-;-
0733609107;Matzenbach;-;-;-;-;-;-;-;-
0733609501;Quirnbach/Pfalz;-;-;-;-;-;-;-;-
0733701;Annweiler am Trifels, Verbandsgem.;8400;107;416;1087;1632;1729;1507;1922
0733701001;Albersweiler;968;7;42;126;163;245;171;214
0733701017;Dernbach, Pfalz;230;3;13;30;25;45;52;62
0733701024;Eußerthal;452;6;6;44;94;97;83;122
0733701033;Gossersweiler-Stein;695;3;36;71;128;134;138;185
0733701054;Münchweiler am Klingbach;110;-;-;9;18;15;41;27
0733701064;Ramberg;489;-;18;42;90;139;90;110
0733701067;Rinnthal;314;-;25;29;48;36;66;110
0733701074;Silz, Pfalz;329;-;13;38;51;68;64;95
0733701078;Völkersweiler;277;-;15;29;66;77;50;40
0733701080;Waldhambach;189;6;7;22;28;35;42;49
0733701081;Waldrohrbach;189;-;19;22;26;40;44;38
0733701083;Wernersberg;496;-;9;31;75;109;110;162
0733701501;Annweiler am Trifels;3662;82;213;594;820;689;556;708
0733702;Bad Bergzabern, Verbandsgem.;12248;235;880;2010;2463;2169;1966;2525
0733702005;Bad Bergzabern;4695;186;580;1254;1147;633;426;469
0733702006;Barbelroth;261;3;-;12;56;48;57;85
0733702008;Birkenhördt;306;-;-;19;44;82;57;104
0733702013;Böllenborn;121;-;6;9;16;24;35;31
0733702018;Dierbach;238;-;3;18;51;49;48;69
0733702019;Dörrenbach;501;9;18;56;62;93;112;151
0733702029;Gleiszellen-Gleishorbach;391;-;22;36;89;69;87;88
0733702037;Hergersweiler;92;-;10;-;12;29;29;12
0733702045;Kapellen-Drusweiler;425;6;15;67;60;82;80;115
0733702046;Kapsweyer;435;-;-;34;74;90;84;153
0733702049;Klingenmünster;961;6;50;91;161;227;167;259
0733702055;Niederhorbach;210;-;3;27;47;50;37;46
0733702056;Niederotterbach;146;-;-;13;30;15;28;60
0733702058;Oberhausen b Bad Bergzabern;199;-;3;15;34;41;42;64
0733702059;Oberotterbach;588;3;33;72;95;107;104;174
0733702060;Oberschlettenbach;67;-;-;9;3;19;22;14
0733702062;Pleisweiler-Oberhofen;452;-;18;36;106;100;84;108
0733702071;Schweigen-Rechtenbach;685;-;41;67;136;141;157;143
0733702072;Schweighofen;273;-;21;22;59;50;54;67
0733702076;Steinfeld, Pfalz;878;9;40;116;158;149;193;213
0733702079;Vorderweidenthal;324;13;17;37;23;71;63;100
0733703;Edenkoben;9650;183;533;1197;1777;1875;1822;2260
0733703002;Altdorf, Pfalz;331;-;6;22;73;72;52;106
0733703011;Böbingen;294;3;12;31;27;66;60;95
0733703015;Burrweiler;458;6;27;62;83;88;91;101
0733703020;Edenkoben;3407;106;290;617;768;638;498;490
0733703021;Edesheim;1119;34;33;92;169;239;250;299
0733703025;Flemlingen;197;-;6;19;38;27;58;49
0733703027;Freimersheim, Pfalz;395;3;17;19;70;82;83;121
0733703028;Gleisweiler;319;6;12;66;38;50;71;76
0733703032;Gommersheim;640;3;18;40;133;131;124;191
0733703035;Großfischlingen;256;3;7;9;35;54;80;68
0733703036;Hainfeld;400;-;32;41;51;69;72;135
0733703047;Kirrweiler (Pfalz);-;-;-;-;-;-;-;-
0733703048;Kleinfischlingen;136;-;-;3;43;15;41;34
0733703052;Maikammer;-;-;-;-;-;-;-;-
0733703066;Rhodt unter Rietburg;589;7;20;68;73;131;111;179
0733703069;Roschbach;376;9;12;33;47;74;83;118
0733703070;Sankt Martin;-;-;-;-;-;-;-;-
0733703077;Venningen;425;-;22;39;58;102;98;106
0733703084;Weyher in der Pfalz;308;3;19;36;71;37;50;92
0733704;Herxheim, Verbandsgem.;6575;68;275;879;1221;1357;1235;1540
0733704038;Herxheim bei Landau/Pfalz;4640;59;217;666;837;932;876;1053
0733704039;Herxheimweyher;243;-;10;35;31;48;43;76
0733704044;Insheim;942;3;29;89;192;208;199;222
0733704068;Rohrbach, Pfalz;750;6;19;89;161;169;117;189
0733705;Landau-Land, Verbandsgem.;6602;39;261;678;1125;1498;1228;1773
0733705007;Billigheim-Ingenheim;1802;7;83;190;357;427;299;439
0733705009;Birkweiler;350;4;16;36;59;90;62;83
0733705012;Böchingen;345;-;10;37;52;89;62;95
0733705022;Eschbach, Pfalz;328;-;26;40;57;46;73;86
0733705026;Frankweiler;448;-;15;34;65;111;86;137
0733705031;Göcklingen;415;-;13;34;76;99;68;125
0733705040;Heuchelheim-Klingen;423;-;20;33;78;60;95;137
0733705042;Ilbesheim bei Landau in der Pfalz;561;4;26;50;86;127;117;151
0733705043;Impflingen;373;-;13;46;80;71;67;96
0733705050;Knöringen;216;-;9;21;18;60;55;53
0733705051;Leinsweiler;310;12;14;66;47;56;31;84
0733705065;Ranschbach;291;3;10;21;53;78;55;71
0733705073;Siebeldingen;483;9;6;43;66;131;109;119
0733705082;Walsheim;257;-;0;27;31;53;49;97
0733706;Maikammer;4005;85;206;552;836;812;615;899
0733706002;Altdorf, Pfalz;-;-;-;-;-;-;-;-
0733706011;Böbingen;-;-;-;-;-;-;-;-
0733706015;Burrweiler;-;-;-;-;-;-;-;-
0733706020;Edenkoben;-;-;-;-;-;-;-;-
0733706021;Edesheim;-;-;-;-;-;-;-;-
0733706025;Flemlingen;-;-;-;-;-;-;-;-
0733706027;Freimersheim, Pfalz;-;-;-;-;-;-;-;-
0733706028;Gleisweiler;-;-;-;-;-;-;-;-
0733706032;Gommersheim;-;-;-;-;-;-;-;-
0733706035;Großfischlingen;-;-;-;-;-;-;-;-
0733706036;Hainfeld;-;-;-;-;-;-;-;-
0733706047;Kirrweiler (Pfalz);950;7;26;100;227;185;164;241
0733706048;Kleinfischlingen;-;-;-;-;-;-;-;-
0733706052;Maikammer;2078;65;105;323;447;413;309;416
0733706066;Rhodt unter Rietburg;-;-;-;-;-;-;-;-
0733706069;Roschbach;-;-;-;-;-;-;-;-
0733706070;Sankt Martin;977;13;75;129;162;214;142;242
0733706077;Venningen;-;-;-;-;-;-;-;-
0733706084;Weyher in der Pfalz;-;-;-;-;-;-;-;-
0733707;Offenbach an der Queich, Verbandsgem.;5514;61;307;663;1046;1175;1026;1236
0733707014;Bornheim, Pfalz;629;3;34;77;104;144;130;137
0733707023;Essingen, Pfalz;933;12;25;80;163;193;218;242
0733707041;Hochstadt (Pfalz);1064;9;35;98;182;218;222;300
0733707061;Offenbach an der Queich;2888;37;213;408;597;620;456;557
0733800001;Altrip, verbandsfr. Gemeinde;3740;65;220;713;880;792;571;499
0733800004;Bobenheim-Roxheim, verbandsfr. Gemeinde;4815;44;281;954;1134;1031;658;713
0733800005;Böhl-Iggelheim, verbandsfr. Gemeinde;4774;30;255;625;1038;1068;789;969
0733800016;Lambsheim, verbandsfr. Gemeinde;2944;45;97;352;609;676;583;582
0733800017;Limburgerhof, verbandsfr. Gemeinde;5848;143;464;1205;1449;1051;762;774
0733800019;Mutterstadt, verbandsfr. Gemeinde;5884;96;336;932;1373;1321;920;906
0733800020;Neuhofen, verbandsfr. Gemeinde;3483;84;230;590;720;793;527;539
0733800023;Römerberg, verbandsfr. Gemeinde;4148;33;184;545;808;788;914;876
0733800025;Schifferstadt, verbandsfr. Gemeinde;8779;105;660;1451;2010;1666;1376;1511
0733801;Dannstadt-Schauernheim, Verbandsgem.;5798;61;275;714;1138;1257;1118;1235
0733801006;Dannstadt-Schauernheim;3132;24;162;378;599;720;599;650
0733801014;Hochdorf-Assenheim;1342;10;66;203;240;287;264;272
0733801022;Rödersheim-Gronau;1324;27;47;133;299;250;255;313
0733802;Dudenhofen, Verbandsgem.;4937;65;168;581;1047;1101;872;1100
0733802007;Dudenhofen;2623;36;86;322;553;592;459;572
0733802010;Hanhofen;967;6;39;104;206;232;174;206
0733802011;Harthausen;1347;23;43;155;288;277;239;322
0733803;Heßheim, Verbandsgem.;4253;36;135;443;871;1084;845;839
0733803002;Beindersheim;1387;15;55;187;326;338;234;232
0733803009;Großniedesheim;567;3;22;40;139;147;111;105
0733803012;Heßheim;1354;6;15;135;235;356;314;293
0733803013;Heuchelheim bei Frankthal;560;9;19;50;114;149;92;127
0733803015;Kleinniedesheim;385;3;24;31;57;94;94;82
0733804;Maxdorf, Verbandsgem.;5816;63;235;822;1344;1295;1055;1002
0733804003;Birkenheide;1451;6;62;231;375;303;234;240
0733804008;Fußgönheim;1188;15;72;150;265;274;208;204
0733804018;Maxdorf;3177;42;101;441;704;718;613;558
0733805;Waldsee, Verbandsgem.;4060;39;153;581;990;792;703;802
0733805021;Otterstadt;1482;15;41;156;325;309;295;341
0733805026;Waldsee;2578;24;112;425;665;483;408;461
0733806;Lambsheim-Heßheim;-;-;-;-;-;-;-;-
0733806002;Beindersheim;-;-;-;-;-;-;-;-
0733806009;Großniedesheim;-;-;-;-;-;-;-;-
