GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09372169;Wald;865;57;68;295;115;52;92;81;32;53;20
09372170;Walderbach;625;49;40;171;95;34;64;66;50;38;18
09372171;Waldmünchen, St;2174;203;254;935;296;96;136;129;57;44;24
09372174;Weiding;732;31;31;255;116;30;69;94;45;48;13
09372175;Willmering;628;10;25;245;89;40;93;73;31;9;13
09372177;Zandt;543;34;53;177;68;42;33;47;48;41;0
09372178;Lohberg;641;45;53;257;109;36;41;68;19;13;-
09373112;Berching, St;2398;161;135;955;264;142;183;284;141;84;49
09373113;Berg b.Neumarkt i.d.OPf.;2256;96;87;839;314;150;254;251;98;124;43
09373114;Berngau;714;6;9;244;90;56;81;78;44;71;35
09373115;Breitenbrunn, M;1081;77;52;402;145;71;93;113;64;52;12
09373119;Deining;1309;40;60;484;141;75;130;167;104;77;31
09373121;Dietfurt a.d.Altmühl, St;1750;107;59;761;216;96;159;167;97;57;31
09373126;Freystadt, St;2474;122;70;906;303;126;281;312;189;113;52
09373134;Hohenfels, M;813;67;33;308;108;58;50;119;35;25;10
09373140;Lauterhofen, M;1001;70;62;362;116;61;85;110;61;50;24
09373143;Lupburg, M;741;59;51;256;79;50;83;59;60;35;9
09373146;Mühlhausen;1357;78;33;588;184;76;155;118;57;43;25
09373147;Neumarkt i.d.OPf., GKSt;9603;107;538;4792;1510;694;767;478;297;295;125
09373151;Parsberg, St;1827;93;81;792;247;101;149;155;71;89;49
09373153;Pilsach;760;42;13;250;118;42;82;92;58;42;21
09373155;Postbauer-Heng, M;2123;33;32;956;315;106;196;224;127;88;46
09373156;Pyrbaum, M;1795;77;62;692;296;101;161;244;65;58;39
09373159;Sengenthal;785;14;13;310;164;53;95;61;29;24;22
09373160;Seubersdorf i.d.OPf.;1472;57;43;641;219;88;118;129;92;59;26
09373167;Velburg, St;1617;126;67;570;216;93;131;178;130;59;47
09374111;Altenstadt a.d.Waldnaab;1145;25;50;499;201;63;72;149;49;20;17
09374117;Eschenbach i.d.OPf., St;1331;84;54;553;119;75;52;93;68;230;3
09374118;Eslarn, M;909;83;92;400;133;47;52;56;20;19;7
09374119;Etzenricht;457;37;29;205;61;31;48;31;9;6;-
09374121;Floß, M;995;199;124;369;97;39;52;52;28;13;22
09374122;Flossenbürg;488;44;57;259;64;10;22;22;6;4;-
09374123;Georgenberg;464;45;60;213;56;23;25;18;12;6;6
09374124;Grafenwöhr, St;1900;95;162;815;188;79;75;173;190;85;38
09374127;Irchenrieth;274;-;7;71;44;35;24;30;39;11;13
09374128;Kirchendemenreuth;243;38;35;80;33;16;10;18;10;3;-
09374129;Kirchenthumbach, M;1046;85;117;422;112;57;77;61;57;40;18
09374131;Kohlberg, M;371;34;57;135;43;10;29;13;29;15;6
09374132;Leuchtenberg, M;366;29;38;154;49;12;30;19;19;16;-
09374133;Luhe-Wildenau, M;995;51;85;378;139;51;75;119;59;16;22
09374134;Mantel, M;912;67;64;385;103;49;64;33;57;77;13
09374137;Moosbach, M;746;65;74;319;94;42;28;50;40;28;6
09374139;Neustadt a.d.Waldnaab, St;1412;99;97;680;150;58;137;96;50;33;12
09374140;Neustadt am Kulm, St;367;102;36;128;37;0;20;22;9;10;3
09374144;Parkstein, M;648;48;19;239;101;31;50;85;30;24;21
09374146;Pirk;500;24;35;189;71;20;61;47;33;16;4
09374147;Pleystein, St;714;112;58;309;77;13;36;56;25;25;3
09374148;Trabitz;382;31;27;178;43;6;24;27;16;15;15
09374149;Pressath, St;1373;117;158;576;143;55;82;103;67;56;16
09374150;Püchersreuth;472;58;34;161;71;28;26;39;42;13;-
09374154;Schirmitz;600;3;44;266;40;42;80;80;21;9;15
09374155;Schlammersdorf;265;45;6;82;37;12;16;34;15;15;3
09374156;Schwarzenbach;392;3;20;149;47;35;15;35;26;50;12
09374157;Speinshart;324;40;32;97;36;23;12;28;35;6;15
09374158;Störnstein;398;9;31;142;42;28;51;23;38;28;6
09374159;Tännesberg, M;470;66;31;170;61;24;53;38;12;12;3
09374160;Theisseil;371;21;15;102;61;16;45;64;13;17;17
09374162;Vohenstrauß, St;2061;177;183;919;209;78;165;149;82;56;43
09374163;Vorbach;307;25;35;95;61;3;17;21;18;23;9
09374164;Waidhaus, M;680;86;72;265;92;19;61;40;17;16;12
09374165;Waldthurn, M;561;48;44;225;77;36;25;67;25;6;8
09374166;Weiherhammer;1225;89;110;453;196;96;66;111;39;50;15
09374168;Windischeschenbach, St;1392;145;179;617;108;77;94;83;50;29;10
09374170;Bechtsrieth;326;3;8;148;59;15;25;18;13;27;10
09374444;Gem.fr. Geb. Neustadt a.d.Waldnaab;-;-;-;-;-;-;-;-;-;-;-
09375113;Alteglofsheim;949;17;37;413;183;52;72;43;76;27;29
09375114;Altenthann;481;52;39;123;67;42;26;54;32;21;25
09375115;Aufhausen;560;52;21;195;71;16;57;74;29;30;15
09375116;Bach a.d.Donau;565;13;44;247;73;34;43;28;52;21;10
09375117;Barbing;1357;26;45;496;151;60;168;124;87;125;75
09375118;Beratzhausen, M;1620;132;80;679;167;86;135;145;107;62;27
09375119;Bernhardswald;1644;98;80;516;275;114;219;171;55;98;18
09375120;Brennberg;554;71;48;148;69;36;44;66;36;25;11
09375122;Brunn;404;15;24;121;48;28;56;32;55;25;-
09375127;Deuerling;633;15;28;205;136;54;70;77;26;19;3
09375130;Donaustauf, M;1159;117;86;421;145;65;115;64;69;65;12
09375131;Duggendorf;539;44;26;207;82;25;49;45;36;13;12
09375143;Hagelstadt;629;36;40;233;108;29;32;43;48;56;4
09375148;Hemau, St;2374;148;119;899;249;123;205;277;174;110;70
09375153;Holzheim a.Forst;314;43;13;98;40;17;27;40;13;23;0
09375156;Kallmünz, M;930;135;57;340;129;39;58;78;30;48;16
09375161;Köfering;641;15;29;144;61;67;126;52;103;38;6
09375162;Laaber, M;1704;80;73;787;218;74;150;173;76;46;27
09375165;Lappersdorf, M;3522;108;172;1538;526;173;278;326;172;190;39
09375170;Mintraching;1405;78;94;517;102;66;191;156;96;75;30
09375171;Mötzing;490;46;26;167;46;36;36;65;31;30;7
09375174;Neutraubling, St;2396;7;19;886;448;296;185;229;126;140;60
09375175;Nittendorf, M;2478;109;147;981;364;139;306;212;92;87;41
09375179;Obertraubling;2030;63;69;720;278;121;130;242;179;139;89
09375180;Pentling;1667;49;59;657;317;82;173;112;83;88;47
09375181;Pettendorf;991;75;41;336;187;60;78;79;74;47;14
09375182;Pfakofen;490;26;21;147;41;39;55;71;46;38;6
09375183;Pfatter;980;77;55;341;118;59;94;91;68;61;16
09375184;Pielenhofen;423;46;19;118;28;24;32;55;46;48;7
09375190;Regenstauf, M;4189;165;241;1684;645;292;371;281;197;204;109
09375191;Riekofen;282;45;42;85;32;7;14;7;22;22;6
09375196;Schierling, M;2241;134;109;966;266;136;190;212;108;80;40
09375199;Sinzing;2057;79;106;767;380;122;186;195;82;117;23
09375201;Sünching;639;69;59;217;77;35;61;65;29;20;7
09375204;Tegernheim;1290;27;47;540;124;69;142;123;88;80;50
09375205;Thalmassing;955;40;38;301;122;57;115;121;65;78;18
09375208;Wenzenbach;2421;56;91;808;284;223;299;296;193;112;59
09375209;Wiesent;744;33;32;285;87;64;72;57;64;37;13
09375210;Wörth a.d.Donau, St;1249;89;78;459;157;87;129;134;53;50;13
09375211;Wolfsegg;461;18;22;163;37;31;59;53;34;30;14
09375213;Zeitlarn;1651;32;67;629;269;136;108;209;71;94;36
09375444;Gem.fr. Geb. Regensburg;-;-;-;-;-;-;-;-;-;-;-
09376112;Altendorf;264;30;16;118;25;14;18;14;10;13;6
09376116;Bodenwöhr;1180;64;152;490;102;38;96;84;78;57;19
09376117;Bruck i.d.OPf., M;1240;102;98;552;143;55;59;100;57;55;19
09376119;Burglengenfeld, St;3340;187;284;1505;305;117;220;224;214;193;91
09376122;Dieterskirchen;306;30;21;109;33;27;20;38;18;10;-
09376125;Fensterbach;711;7;36;346;107;32;67;48;33;32;3
09376131;Gleiritsch;199;18;3;78;38;18;14;12;3;9;6
09376133;Guteneck;230;16;18;107;23;4;9;26;12;6;9
09376141;Maxhütte-Haidhof, St;3182;130;287;1421;282;155;292;248;184;119;64
09376144;Nabburg, St;1805;100;184;782;252;67;135;133;68;59;25
09376146;Neukirchen-Balbini, M;330;37;38;119;41;20;15;26;12;22;-
09376147;Neunburg vorm Wald, St;2167;157;167;916;285;101;189;165;116;50;21
09376148;Niedermurach;379;35;42;185;34;6;21;25;13;9;9
09376149;Nittenau, St;2350;146;190;970;305;132;220;160;114;84;29
09376150;Wernberg-Köblitz, M;1535;46;61;872;178;66;124;104;43;28;13
09376151;Oberviechtach, St;1366;92;82;658;145;58;117;98;48;48;20
09376153;Pfreimd, St;1495;93;80;675;197;65;133;128;76;41;7
09376159;Schmidgaden;797;6;46;321;127;37;90;67;46;47;10
09376160;Schönsee, St;815;115;91;336;130;36;40;30;15;22;-
09376161;Schwandorf, GKSt;7136;193;667;3765;722;223;467;516;294;195;94
09376162;Schwarzach b.Nabburg;456;19;35;201;50;19;44;39;23;20;6
09376163;Schwarzenfeld, M;1765;65;226;851;140;71;134;162;52;45;19
09376164;Schwarzhofen, M;461;53;43;218;47;6;25;35;13;15;6
09376167;Stadlern;204;33;27;97;28;3;-;9;4;3;-
09376168;Steinberg am See;528;19;9;262;39;21;47;41;37;41;12
09376169;Stulln;476;10;35;199;35;19;48;45;38;44;3
09376170;Teublitz, St;2229;68;229;1154;216;81;139;152;91;56;43
09376171;Teunz;559;27;46;220;71;32;65;60;15;20;3
09376172;Thanstein;274;30;22;113;24;16;35;15;9;10;-
09376173;Trausnitz;336;25;34;179;21;20;22;24;3;4;4
09376175;Wackersdorf;1447;9;93;642;159;53;92;212;92;53;42
09376176;Weiding;161;24;6;78;14;7;4;15;13;-;-
09376178;Winklarn, M;460;48;48;189;44;15;23;19;33;35;6
09376444;Gem.fr. Geb. Schwandorf;-;-;-;-;-;-;-;-;-;-;-
09377112;Bärnau, St;1056;219;122;432;80;28;64;58;26;18;9
09377113;Brand;358;39;32;150;60;13;27;16;6;12;3
09377115;Ebnath;431;59;62;197;50;12;20;9;19;3;-
09377116;Erbendorf, St;1403;151;136;578;153;46;105;115;56;51;12
09377117;Falkenberg, M;276;43;41;106;22;10;16;13;12;10;3
09377118;Friedenfels;390;34;61;184;33;6;25;24;13;10;-
09377119;Fuchsmühl, M;500;55;64;179;66;37;45;35;10;3;6
09377127;Immenreuth;547;31;45;264;65;31;29;29;32;21;0
09377128;Kastl;416;40;46;121;63;12;40;40;27;24;3
09377129;Kemnath, St;1499;152;122;634;147;73;102;101;73;68;27
09377131;Konnersreuth, M;496;76;63;128;77;33;35;36;25;17;6
09377132;Krummennaab;466;33;71;234;24;21;31;29;6;3;14
09377133;Kulmain;678;50;82;228;95;40;54;62;29;30;8
09377137;Leonberg;312;52;22;103;27;19;18;29;23;16;3
09377139;Mähring, M;571;94;73;190;62;13;54;54;16;12;3
09377141;Mitterteich, St;1770;182;240;726;203;53;122;136;67;32;9
09377142;Neualbenreuth, M;461;85;46;151;29;16;40;48;20;23;3
09377143;Neusorg;565;37;60;280;70;16;34;41;6;9;12
09377145;Pechbrunn;435;58;48;226;22;10;31;15;9;10;6
09377146;Plößberg, M;952;128;70;349;108;39;85;86;46;34;7
09377148;Pullenreuth;547;63;50;233;48;19;31;57;24;22;-
09377149;Reuth b.Erbendorf;362;54;46;150;42;3;17;12;15;17;6
09377154;Tirschenreuth, St;2333;227;236;1109;268;71;148;120;69;65;20
09377157;Waldershof, St;1289;180;132;539;93;41;107;103;57;34;3
09377158;Waldsassen, St;1811;251;200;808;173;54;130;109;57;16;13
09377159;Wiesau, M;1106;90;155;525;115;39;79;49;32;16;6
09377444;Gem.fr. Geb. Tirschenreuth;-;-;-;-;-;-;-;-;-;-;-
09461000;Bamberg;12262;2456;1775;4489;1156;571;473;581;336;281;144
09462000;Bayreuth;12887;1025;1816;5940;1671;407;683;670;342;201;132
09463000;Coburg;9031;1492;1110;3705;976;292;454;443;225;248;86
09464000;Hof;9432;1234;1526;4084;935;298;420;524;258;120;33
09471111;Altendorf;511;31;25;210;63;45;38;47;18;16;18
09471115;Baunach, St;1130;93;88;377;165;82;87;123;54;48;13
09471117;Bischberg;1649;90;86;676;278;74;166;110;85;66;18
09471119;Breitengüßbach;1200;63;64;456;229;68;90;84;61;30;55
09471120;Burgebrach, M;1671;151;131;559;203;71;179;160;86;90;41
09471122;Burgwindheim, M;371;51;34;151;40;9;36;28;9;3;10
09471123;Buttenheim, M;946;95;58;347;112;42;70;128;38;53;3
09471128;Ebrach, M;471;64;74;194;61;13;12;20;18;12;3
09471131;Frensdorf;1382;113;78;432;175;76;174;155;77;84;18
09471133;Gerach;295;38;26;101;48;15;25;19;14;9;-
09471137;Gundelsheim;964;28;19;405;217;108;80;37;28;36;6
09471140;Hallstadt, St;1903;143;141;847;248;111;143;132;64;51;23
09471142;Heiligenstadt i.OFr., M;994;109;75;372;127;53;74;71;47;44;22
09471145;Hirschaid, M;3037;127;192;1181;430;205;243;255;135;183;86
09471150;Kemmern;730;43;48;282;116;37;77;61;28;32;6
09471151;Königsfeld;376;64;39;106;34;28;36;29;16;21;3
09471152;Lauter;357;39;47;94;54;22;32;37;19;13;-
09471154;Lisberg;502;30;26;175;59;29;60;62;43;9;9
09471155;Litzendorf;1772;122;78;664;301;126;168;117;115;45;36
09471159;Memmelsdorf;2240;147;116;1111;221;85;155;222;119;49;15
09471165;Oberhaid;1230;84;98;546;172;70;81;93;35;39;12
09471169;Pettstadt;564;31;7;197;80;20;74;83;46;10;16
09471172;Pommersfelden;804;98;51;257;87;46;66;80;72;43;4
09471173;Priesendorf;415;42;19;151;47;32;33;48;21;15;7
09471174;Rattelsdorf, M;1255;165;71;445;168;58;71;123;70;49;35
09471175;Reckendorf;594;59;43;214;65;28;26;71;48;34;6
09471185;Scheßlitz, St;2052;388;128;696;220;90;130;172;113;93;22
09471186;Schönbrunn i.Steigerwald;550;47;43;200;67;33;50;35;47;18;10
09471189;Stadelhofen;357;81;32;113;50;6;22;23;12;15;3
09471191;Stegaurach;1793;90;108;640;269;134;164;193;96;64;35
09471195;Strullendorf;2029;131;106;908;295;129;198;140;45;51;26
09471207;Viereth-Trunstadt;958;64;60;358;136;85;114;73;40;25;3
09471208;Walsdorf;707;59;30;208;78;27;88;138;41;35;3
09471209;Wattendorf;178;25;21;60;25;3;18;6;13;3;4
09471214;Zapfendorf, M;1372;100;81;529;169;103;138;96;83;53;20
09471220;Schlüsselfeld, St;1587;151;98;627;175;64;133;183;76;59;21
09471444;Gem.fr. Geb. Bamberg;-;-;-;-;-;-;-;-;-;-;-
09472111;Ahorntal;634;38;69;221;90;40;62;55;28;21;10
09472115;Aufseß;434;62;46;163;42;19;26;42;15;6;13
09472116;Bad Berneck i.Fichtelgebirge, St;1196;215;171;496;97;48;53;56;26;28;6
09472118;Betzenstein, St;818;158;72;295;81;44;44;51;41;29;3
09472119;Bindlach;1796;136;119;645;196;116;160;199;117;85;23
09472121;Bischofsgrün;610;77;95;237;88;36;31;24;16;3;3
09472127;Creußen, St;1455;221;159;553;151;43;80;126;65;45;12
09472131;Eckersdorf;1581;158;125;614;217;96;95;135;50;74;17
09472133;Emtmannsberg;350;80;34;96;51;11;28;23;17;6;4
09472138;Fichtelberg;781;73;125;382;99;14;49;22;3;6;8
09472139;Gefrees, St;1467;244;177;609;127;63;59;109;47;25;7
09472140;Gesees;408;65;18;105;58;26;35;28;42;28;3
09472141;Glashütten;437;27;31;167;51;21;33;67;31;6;3
09472143;Goldkronach, St;1075;162;85;347;90;58;108;150;39;24;12
09472146;Haag;286;41;33;81;40;16;32;22;6;12;3
09472150;Heinersreuth;1150;113;88;478;128;81;79;64;53;45;21
09472154;Hollfeld, St;1525;182;152;625;157;70;112;106;57;50;14
09472155;Hummeltal;724;58;50;214;123;58;86;76;23;30;6
09472156;Kirchenpingarten;344;43;37;101;41;16;32;42;26;6;-
09472164;Mehlmeisel;472;66;54;195;45;16;37;32;24;3;-
09472166;Mistelbach;490;45;63;189;75;12;35;26;25;17;3
09472167;Mistelgau;1135;174;105;280;139;64;127;99;75;51;21
09472175;Pegnitz, St;3629;201;408;1692;367;178;225;278;140;105;35
09472176;Plankenfels;290;22;60;85;31;15;12;43;19;3;-
09472177;Plech, M;401;69;14;161;32;10;23;52;20;10;10
09472179;Pottenstein, St;1568;128;105;675;202;80;140;130;48;27;33
09472180;Prebitz;322;32;49;107;32;13;28;32;20;9;-
09472184;Schnabelwaid, M;299;48;36;111;35;11;29;15;8;3;3
09472188;Seybothenreuth;407;36;37;69;29;63;66;59;23;19;6
09472190;Speichersdorf;1479;151;140;563;160;37;120;185;90;27;6
09472197;Waischenfeld, St;893;88;77;329;81;44;76;82;58;55;3
09472198;Warmensteinach;705;68;100;372;73;16;32;22;16;3;3
09472199;Weidenberg, M;1718;246;114;623;202;96;157;156;61;35;28
09472444;Gem.fr. Geb. Bayreuth;-;-;-;-;-;-;-;-;-;-;-
09473112;Ahorn;1282;103;54;618;236;52;72;89;36;13;9
09473120;Dörfles-Esbach;802;50;12;374;143;55;100;39;22;4;3
09473121;Ebersdorf b.Coburg;1642;217;155;723;147;68;110;112;67;31;12
09473132;Großheirath;750;119;33;218;42;29;107;93;68;34;7
09473134;Grub a.Forst;895;91;81;412;92;30;62;52;31;31;13
09473138;Itzgrund;723;154;40;189;97;29;43;86;34;40;11
09473141;Lautertal;1199;118;93;440;116;42;131;123;70;45;21
09473144;Meeder;1105;182;85;381;121;50;116;97;45;15;13
09473151;Neustadt b.Coburg, GKSt;3839;549;485;1697;332;157;204;230;82;73;30
09473153;Niederfüllbach;414;19;27;200;41;34;36;47;10;-;-
09473158;Bad Rodach, St;1788;396;167;624;184;73;111;125;64;23;21
09473159;Rödental, St;3594;443;286;1468;416;167;290;277;160;53;34
09473165;Seßlach, St;1201;215;98;405;121;47;94;101;72;35;13
09473166;Sonnefeld;1426;222;130;649;128;40;97;108;20;29;3
09473170;Untersiemau;1213;145;83;540;141;50;109;75;40;27;3
09473174;Weidhausen b.Coburg;899;115;97;384;98;17;65;63;47;13;-
09473175;Weitramsdorf;1480;96;105;689;131;67;122;145;66;46;13
09473444;Gem.fr. Geb. Coburg;-;-;-;-;-;-;-;-;-;-;-
09474119;Dormitz;573;18;33;185;116;40;71;22;39;37;12
09474121;Ebermannstadt, St;1818;138;117;782;232;109;143;130;82;50;35
09474122;Effeltrich;759;48;43;217;129;57;118;78;42;24;3
09474123;Eggolsheim, M;1804;170;77;648;214;110;140;188;98;120;39
09474124;Egloffstein, M;691;103;40;274;103;23;49;46;16;17;20
09474126;Forchheim, GKSt;6858;396;525;3417;763;431;416;328;226;224;132
09474129;Gößweinstein, M;1167;94;90;476;159;39;87;114;49;41;18
09474132;Gräfenberg, St;1226;181;71;517;113;54;104;93;37;44;12
09474133;Hallerndorf;1155;108;53;364;167;71;147;94;82;38;31
09474134;Hausen;983;34;57;374;140;45;85;121;66;51;10
09474135;Heroldsbach;1399;42;76;448;192;132;105;231;83;59;31
09474137;Hetzles;384;39;32;120;50;22;40;31;23;12;15
09474138;Hiltpoltstein, M;523;92;26;211;65;15;46;33;26;6;3
09474140;Igensdorf, M;1544;118;48;449;203;87;194;233;91;77;44
09474143;Kirchehrenbach;623;38;31;248;104;48;71;41;16;13;13
09474144;Kleinsendelbach;481;48;26;144;96;49;56;22;31;9;-
09474145;Kunreuth;415;46;49;135;56;26;27;41;17;15;3
09474146;Langensendelbach;851;15;34;370;138;43;46;84;37;43;41
09474147;Leutenbach;501;48;35;163;61;43;33;54;32;32;-
09474154;Neunkirchen a.Brand, M;2334;134;117;949;336;128;180;188;152;128;22
09474156;Obertrubach;610;36;37;236;110;35;56;56;20;24;-
09474158;Pinzberg;557;57;36;216;61;37;38;38;52;13;9
09474160;Poxdorf;425;6;20;120;123;59;15;25;26;31;-
09474161;Pretzfeld, M;713;74;45;266;84;45;57;59;34;37;12
09474168;Unterleinleiter;363;20;35;185;31;15;24;27;17;9;-
09474171;Weilersbach;583;33;63;210;88;32;60;32;35;17;13
09474173;Weißenohe;329;21;15;129;49;22;52;19;9;6;7
09474175;Wiesenthau;496;22;24;205;100;32;33;30;19;27;4
09474176;Wiesenttal, M;800;108;106;313;79;23;59;65;9;28;10
09475112;Bad Steben, M;1094;183;134;472;95;53;67;46;27;14;3
09475113;Berg;815;204;119;263;74;28;67;38;10;6;6
09475120;Döhlau;1283;87;59;505;216;52;105;134;68;38;19
09475123;Feilitzsch;808;110;56;261;111;23;71;117;37;16;6
09475127;Gattendorf;350;87;26;103;30;7;47;34;10;6;-
09475128;Geroldsgrün;1039;158;170;486;106;19;33;42;15;7;3
09475136;Helmbrechts, St;2900;487;528;1261;190;60;140;136;45;47;6
09475137;Issigau;387;94;51;144;39;14;25;10;4;6;-
09475141;Köditz;775;116;70;250;68;37;97;82;23;16;16
09475142;Konradsreuth;970;135;72;420;74;21;83;80;51;34;0
09475145;Leupoldsgrün;453;109;25;182;29;13;32;36;14;13;-
09475146;Lichtenberg, St;475;83;41;191;102;9;29;10;10;-;-
09475154;Münchberg, St;2853;407;445;1270;280;97;133;123;63;22;13
09475156;Naila, St;2378;306;338;1137;206;71;105;119;63;26;7
09475158;Oberkotzau, M;1495;189;186;596;150;69;121;98;45;37;4
09475161;Regnitzlosau;834;229;113;288;51;25;53;33;22;20;-
09475162;Rehau, St;2614;382;391;1167;206;90;149;126;57;43;3
09475165;Schauenstein, St;736;181;106;297;54;27;27;28;13;-;3
09475168;Schwarzenbach a.d.Saale, St;2129;439;290;876;148;41;126;115;60;23;11
09475169;Schwarzenbach a.Wald, St;1698;342;308;753;141;29;50;54;10;11;-
09475171;Selbitz, St;1353;230;176;630;108;27;51;84;29;9;9
09475174;Sparneck, M;588;76;47;287;52;22;39;37;19;6;3
09475175;Stammbach, M;871;130;147;385;71;17;21;46;35;13;6
09475181;Töpen;343;81;26;120;47;6;22;28;13;-;-
09475182;Trogen;418;51;40;144;40;25;53;19;42;4;-
09475184;Weißdorf;412;81;36;175;36;13;35;18;9;9;-
09475189;Zell im Fichtelgebirge, M;642;126;57;296;67;29;24;22;6;9;6
09475444;Gem.fr. Geb. Hof;-;-;-;-;-;-;-;-;-;-;-
09476145;Kronach, St;4717;488;547;2331;476;170;196;258;144;75;32
09476146;Küps, M;2415;217;249;1061;201;88;143;241;140;61;14
09476152;Ludwigsstadt, St;1165;223;184;527;81;35;48;38;15;10;4
09476154;Mitwitz, M;845;145;93;344;88;43;50;42;17;16;7
09476159;Nordhalben, M;709;127;110;320;67;13;25;25;13;6;3
09476164;Pressig, M;1181;129;161;539;135;43;65;60;12;16;21
09476166;Reichenbach;265;26;64;122;30;6;7;6;4;-;-
09476171;Schneckenlohe;341;41;35;148;34;3;19;25;16;20;-
09476175;Steinbach a.Wald;1024;63;133;526;136;39;50;48;16;10;3
09476177;Steinwiesen, M;1121;77;130;573;96;74;61;64;26;14;6
09476178;Stockheim;1560;192;125;700;172;58;77;116;69;40;11
09476179;Tettau, M;742;86;142;405;47;9;27;20;3;3;-
09476180;Teuschnitz, St;694;75;161;296;71;25;26;28;6;6;-
09476182;Tschirn;209;11;49;121;11;3;10;-;4;-;-
09476183;Marktrodach, M;1265;192;96;528;147;60;95;65;50;29;3
09476184;Wallenfels, St;914;93;170;440;88;32;40;35;9;7;-
09476185;Weißenbrunn;964;97;115;414;106;35;67;73;16;25;16
09476189;Wilhelmsthal;1209;72;161;543;161;68;62;66;54;13;9
09476444;Gem.fr. Geb. Kronach;-;-;-;-;-;-;-;-;-;-;-
09477117;Grafengehaig, M;385;100;56;138;31;6;18;24;6;3;3
09477118;Guttenberg;188;46;19;58;12;15;8;16;3;11;-
09477119;Harsdorf;314;32;29;95;24;3;52;67;6;3;3
09477121;Himmelkron;905;104;49;270;145;68;76;92;66;26;9
09477124;Kasendorf, M;733;127;97;258;51;31;61;54;38;9;7
09477127;Ködnitz;527;63;52;246;57;18;39;31;12;6;3
09477128;Kulmbach, GKSt;6875;768;967;2966;678;332;383;389;211;136;45
09477129;Kupferberg, St;361;44;55;119;43;28;30;21;12;-;9
09477135;Ludwigschorgast, M;320;27;22;129;41;9;37;29;16;7;3
09477136;Mainleus, M;1834;244;254;697;125;64;127;171;97;28;27
09477138;Marktleugast, M;1123;120;144;596;81;29;63;35;25;16;14
09477139;Marktschorgast, M;481;76;79;184;50;3;36;35;9;9;-
09477142;Neudrossenfeld;1209;175;113;316;131;60;137;149;60;59;9
09477143;Neuenmarkt;849;97;82;322;85;40;78;89;28;22;6
09477148;Presseck, M;741;228;96;264;63;13;19;25;21;12;-
09477151;Rugendorf;335;84;22;95;31;19;33;23;10;18;-
09477156;Stadtsteinach, St;976;152;113;403;100;17;60;91;33;4;3
09477157;Thurnau, M;1313;229;133;451;134;64;97;115;49;35;6
09477158;Trebgast;530;88;51;227;53;13;22;47;16;13;-
09477159;Untersteinach;591;68;53;297;31;21;23;60;16;22;-
09477163;Wirsberg, M;521;83;38;232;50;0;38;45;18;17;-
09477164;Wonsees, M;362;85;36;110;25;12;34;31;11;15;3
09478111;Altenkunstadt;1513;191;136;568;189;64;141;139;39;25;21
09478116;Burgkunstadt, St;1891;219;229;851;183;64;106;110;68;40;21
09478120;Ebensfeld, M;1604;219;118;611;192;86;100;133;83;46;16
09478127;Hochstadt a.Main;506;76;35;210;49;16;42;25;39;11;3
09478139;Lichtenfels, St;5485;718;727;2390;561;201;270;289;182;110;37
09478143;Marktgraitz, M;405;71;45;163;44;14;12;26;17;9;4
09478144;Marktzeuln, M;515;111;25;190;33;20;36;31;44;25;-
09478145;Michelau i.OFr.;2035;406;224;757;197;59;172;130;46;26;18
09478155;Redwitz a.d.Rodach;986;95;89;523;67;24;67;40;45;29;7
09478165;Bad Staffelstein, St;2810;325;178;1221;330;112;217;190;109;86;42
09478176;Weismain, St;1362;172;143;458;167;47;127;125;50;45;28
09478444;Gem.fr. Geb. Lichtenfels;-;-;-;-;-;-;-;-;-;-;-
09479111;Bad Alexandersbad;250;49;26;88;34;12;17;3;18;3;-
09479112;Arzberg, St;1691;351;301;736;117;26;35;78;31;10;6
09479126;Höchstädt i.Fichtelgebirge;382;110;28;103;19;20;18;38;35;7;4
09479127;Hohenberg a.d.Eger, St;486;118;42;193;38;9;23;32;25;3;3
09479129;Kirchenlamitz, St;1138;284;223;453;53;16;28;51;12;18;-
09479135;Marktleuthen, St;1033;234;169;421;58;36;47;38;13;13;4
09479136;Marktredwitz, GKSt;4286;660;645;1898;399;98;208;186;111;48;33
09479138;Nagel;640;82;62;272;87;33;33;38;14;12;7
09479145;Röslau;743;178;141;279;44;10;30;27;12;16;6
