GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0733303018;Einselthum;348;261;74;-;13
0733303026;Göllheim;1617;906;647;7;57
0733303032;Immesheim;53;44;9;-;-
0733303041;Lautersheim;280;223;48;-;9
0733303058;Ottersheim;188;129;41;3;15
0733303064;Rüssingen;230;165;46;-;19
0733303074;Standenbühl;95;64;18;-;13
0733303081;Weitersweiler;206;141;54;-;11
0733303501;Zellertal;543;397;130;-;16
0733304;Kirchheimbolanden, Verbandsgem.;8524;5113;3015;26;370
0733304005;Bennhausen;64;54;7;-;3
0733304007;Bischheim;311;193;112;-;6
0733304010;Bolanden;1001;653;299;-;49
0733304013;Dannenfels;430;310;101;6;13
0733304022;Gauersheim;278;216;55;-;7
0733304031;Ilbesheim;235;171;54;-;10
0733304035;Jakobsweiler;117;86;18;3;10
0733304039;Kirchheimbolanden;3405;1551;1706;14;134
0733304040;Kriegsfeld;472;357;84;-;31
0733304045;Marnheim;737;455;232;3;47
0733304046;Mörsfeld;222;170;39;-;13
0733304047;Morschheim;343;217;120;-;6
0733304056;Oberwiesen;219;174;39;-;6
0733304057;Orbis;326;241;78;-;7
0733304062;Rittersheim;87;64;23;-;-
0733304076;Stetten, Pfalz;277;201;48;-;28
0733305;Rockenhausen, Verbandsgem.;5312;3666;1296;46;301
0733305004;Bayerfeld-Steckweiler;198;159;30;3;6
0733305008;Bisterschied;115;78;30;-;7
0733305014;Dielkirchen;264;196;49;-;19
0733305016;Dörrmoschel;72;58;10;-;4
0733305024;Gehrweiler;157;135;15;-;7
0733305025;Gerbach;268;200;42;9;17
0733305028;Gundersweiler;216;158;37;-;21
0733305034;Imsweiler;267;162;86;-;16
0733305037;Katzenbach;248;151;72;7;18
0733305061;Ransweiler;129;102;18;3;6
0733305065;Ruppertsecken;164;121;30;-;13
0733305066;Sankt Alban;141;111;24;-;6
0733305068;Schönborn, Pfalz;53;35;9;-;9
0733305073;Stahlberg;96;67;19;-;10
0733305077;Teschenmoschel;61;52;3;-;6
0733305084;Würzweiler;102;81;13;4;4
0733305201;Rathskirchen;92;70;18;-;4
0733305202;Reichsthal;40;26;8;3;3
0733305203;Seelen;71;53;6;-;12
0733305502;Rockenhausen;2558;1651;777;17;113
0733306;Winnweiler, Verbandsgem.;6380;3981;1797;107;391
0733306009;Börrstadt;398;276;101;3;12
0733306011;Breunigweiler;210;140;52;-;18
0733306020;Falkenstein, Pfalz;235;106;36;75;15
0733306027;Gonbach;243;176;41;3;14
0733306030;Höringen;315;236;55;-;15
0733306033;Imsbach;466;319;97;8;35
0733306042;Lohnsfeld;433;264;154;3;9
0733306048;Münchweiler an der Alsenz;594;362;175;-;45
0733306069;Schweisweiler;199;129;46;6;12
0733306071;Sippersfeld;530;375;119;-;30
0733306075;Steinbach am Donnersberg;348;241;85;-;19
0733306080;Wartenberg-Rohrbach;221;145;57;3;13
0733306503;Winnweiler;2188;1212;779;6;154
0733400007;Germersheim, verbandsfr. Gemeinde;9209;3966;5021;13;209
0733400501;Wörth am Rhein, verbandsfr. Gemeinde;7338;4526;2589;3;217
0733401;Bellheim, Verbandsgem.;5804;3743;1879;3;179
0733401001;Bellheim;3718;2230;1381;-;107
0733401014;Knittelsheim;410;320;81;-;9
0733401023;Ottersheim bei Landau;770;553;195;-;22
0733401036;Zeiskam;906;640;222;3;41
0733402;Hagenbach, Verbandsgem.;4675;3186;1325;9;155
0733402002;Berg (Pfalz);913;616;267;3;27
0733402008;Hagenbach;2296;1501;716;6;73
0733402021;Neuburg am Rhein;1169;850;280;-;39
0733402027;Scheibenhardt;297;219;62;-;16
0733403;Jockgrim, Verbandsgem.;7233;4765;2269;9;190
0733403009;Hatzenbühl;1152;770;360;3;19
0733403012;Jockgrim;3212;1969;1155;-;88
0733403022;Neupotz;746;540;170;6;30
0733403024;Rheinzabern;2123;1486;584;-;53
0733404;Kandel, Verbandsgem.;6894;4491;2122;26;255
0733404004;Erlenbach bei Kandel;326;255;56;-;15
0733404005;Freckenfeld;721;532;163;3;23
0733404013;Kandel;3866;2217;1492;10;147
0733404020;Minfeld;689;516;141;4;28
0733404030;Steinweiler;767;602;140;-;25
0733404031;Vollmersweiler;81;78;3;-;-
0733404034;Winden, Pfalz;444;291;127;9;17
0733405;Lingenfeld, Verbandsgem.;6691;4625;1826;12;225
0733405006;Freisbach;443;309;122;-;12
0733405017;Lingenfeld;2357;1548;747;9;50
0733405018;Lustadt;1365;964;339;-;62
0733405028;Schwegenheim;1134;801;289;-;44
0733405032;Weingarten (Pfalz);683;500;149;-;34
0733405033;Westheim (Pfalz);709;503;180;3;23
0733406;Rülzheim, Verbandsgem.;6605;4421;1958;23;203
0733406011;Hördt;1075;821;209;-;45
0733406015;Kuhardt;869;611;232;3;23
0733406016;Leimersheim;1161;833;288;7;33
0733406025;Rülzheim;3500;2156;1229;13;102
0733501;Bruchmühlbach-Miesau, Verbandsgem.;4926;2804;1630;3;201
0733501003;Bruchmühlbach-Miesau;3734;1972;1366;-;152
0733501011;Gerhardsbrunn;77;61;9;-;3
0733501201;Lambsborn;363;232;88;3;22
0733501202;Langwieden;108;62;40;-;3
0733501203;Martinshöhe;644;477;127;-;21
0733502;Enkenbach-Alsenborn, Verbandsgem.;6136;3344;2303;25;239
0733502004;Enkenbach-Alsenborn;3230;1766;1243;9;119
0733502007;Fischbach;-;-;-;-;-
0733502010;Frankenstein;-;-;-;-;-
0733502015;Hochspeyer;-;-;-;-;-
0733502026;Mehlingen;1870;983;754;-;64
0733502028;Neuhemsbach;405;273;87;13;19
0733502048;Waldleiningen;-;-;-;-;-
0733502205;Sembach;631;322;219;3;37
0733503;Hochspeyer, Verbandsgem.;3288;1964;1083;16;151
0733503007;Fischbach, Kr Kaiserslautern;379;245;115;-;13
0733503010;Frankenstein, Pfalz;501;311;148;9;27
0733503015;Hochspeyer;2226;1254;799;7;104
0733503048;Waldleiningen;182;154;21;-;7
0733504;Kaiserslautern-Süd, Verbandsgem.;5744;3248;1942;40;252
0733504021;Krickenbach;586;386;151;-;28
0733504023;Linden, Pfalz;617;363;203;-;21
0733504037;Queidersbach;1552;871;486;3;71
0733504045;Stelzenberg;624;386;190;6;31
0733504047;Trippstadt;1597;785;681;28;73
0733504204;Schopp;768;457;231;3;28
0733505;Landstuhl, Verbandsgem.;8645;3895;3650;3;402
0733505002;Bann;1145;704;274;3;47
0733505012;Hauptstuhl;635;354;214;-;27
0733505018;Kindsbach;1435;713;469;-;55
0733505022;Landstuhl, Sickingenstadt;4845;1769;2528;-;243
0733505027;Mittelbrunn;355;204;116;-;13
0733505031;Oberarnbach;230;151;49;-;17
0733506;Otterbach, Verbandsgem.;4742;2821;1491;7;242
0733506009;Frankelbach;152;115;31;-;3
0733506014;Hirschhorn/Pfalz;398;238;120;-;18
0733506017;Katzweiler;908;488;346;-;47
0733506025;Mehlbach;627;353;196;-;46
0733506033;Olsbrücken;531;361;120;3;29
0733506034;Otterbach;1883;1128;601;4;78
0733506046;Sulzbachtal;243;138;77;-;21
0733507;Otterberg, Verbandsgem.;4588;2701;1442;27;263
0733507013;Heiligenmoschel;312;201;84;-;13
0733507029;Niederkirchen;972;630;238;21;68
0733507035;Otterberg;2559;1363;955;3;143
0733507041;Schallodenbach;476;305;118;-;26
0733507042;Schneckenhausen;269;202;47;3;13
0733508;Ramstein-Miesenbach, Verbandsgem.;9815;4873;3334;7;419
0733508016;Hütschenhausen;2144;1208;610;4;83
0733508020;Kottweiler-Schwanden;713;431;179;-;33
0733508030;Niedermohr;782;471;196;-;25
0733508038;Ramstein-Miesenbach;4714;1995;1916;-;207
0733508044;Steinwenden;1462;768;433;3;71
0733509;Weilerbach, Verbandsgem.;7940;4075;2562;15;296
0733509005;Erzenhausen;424;238;123;-;19
0733509006;Eulenbis;261;148;56;3;17
0733509019;Kollweiler;282;173;58;-;13
0733509024;Mackenbach;1382;570;487;6;63
0733509040;Rodenbach, Kr Kaiserslautern;1764;898;612;-;53
0733509043;Schwedelbach;663;326;197;-;22
0733509049;Weilerbach;2359;1270;796;3;81
0733509501;Reichenbach-Steegen;805;452;233;3;28
0733510;Otterbach-Otterberg;-;-;-;-;-
0733510009;Frankelbach;-;-;-;-;-
0733510013;Heiligenmoschel;-;-;-;-;-
0733510014;Hirschhorn/Pfalz;-;-;-;-;-
0733510017;Katzweiler;-;-;-;-;-
0733510025;Mehlbach;-;-;-;-;-
0733510029;Niederkirchen;-;-;-;-;-
0733510033;Olsbrücken;-;-;-;-;-
0733510034;Otterbach;-;-;-;-;-
0733510035;Otterberg, Stadt;-;-;-;-;-
0733510041;Schallodenbach;-;-;-;-;-
0733510042;Schneckenhausen;-;-;-;-;-
0733510046;Sulzbachtal;-;-;-;-;-
0733601;Altenglan, Verbandsgem.;5060;3411;1194;15;302
0733601003;Altenglan;1389;961;345;-;55
0733601009;Bosenbach;361;251;73;-;31
0733601021;Elzweiler;67;49;9;-;9
0733601022;Erdesbach;269;210;34;-;25
0733601025;Föckelberg;206;127;40;6;12
0733601046;Horschbach;120;87;27;3;3
0733601066;Neunkirchen am Potzberg;247;158;61;-;9
0733601067;Niederalben;155;106;33;-;12
0733601068;Niederstaufenbach;156;101;39;-;6
0733601071;Oberstaufenbach;201;89;69;-;3
0733601079;Rammelsbach;809;552;201;-;56
0733601081;Rathsweiler;65;45;16;-;4
0733601089;Rutsweiler am Glan;172;113;37;-;19
0733601099;Ulmet;350;228;95;-;24
0733601103;Welchweiler;109;59;32;6;12
0733601106;Bedesbach;384;275;83;-;22
0733602;Glan-Münchweiler, Verbandsgem.;4653;3081;1096;26;242
0733602008;Börsborn;188;139;28;3;12
0733602031;Glan-Münchweiler;630;357;209;-;30
0733602037;Henschtal;183;97;49;-;13
0733602041;Herschweiler-Pettersheim;613;460;107;-;34
0733602047;Hüffler;272;186;63;-;20
0733602054;Krottelbach;319;220;69;-;27
0733602056;Langenbach, Pfalz;222;160;39;-;14
0733602064;Nanzdietschweiler;586;382;149;-;19
0733602082;Rehweiler;240;145;59;13;9
0733602096;Steinbach am Glan;497;308;128;7;19
0733602101;Wahnwegen;308;243;44;3;18
0733602107;Matzenbach;336;204;100;-;18
0733602501;Quirnbach/Pfalz;259;180;52;-;9
0733603;Kusel, Verbandsgem.;6608;4001;2112;24;358
0733603002;Albessen;67;52;15;-;-
0733603006;Blaubach;218;166;34;-;15
0733603015;Dennweiler-Frohnbach;124;106;15;-;3
0733603018;Ehweiler;90;63;12;-;6
0733603024;Etschberg;334;258;50;3;17
0733603034;Haschbach am Remigiusberg;347;232;89;-;11
0733603039;Herchweiler;248;181;47;-;20
0733603051;Körborn;160;124;26;3;7
0733603052;Konken;396;235;118;-;30
0733603055;Kusel;2550;1093;1232;9;193
0733603070;Oberalben;106;81;19;3;3
0733603077;Pfeffelbach;448;332;91;3;16
0733603084;Reichweiler;244;189;45;-;3
0733603088;Ruthweiler;239;143;83;-;-
0733603091;Schellweiler;242;168;64;-;7
0733603094;Selchenbach;159;135;18;-;6
0733603097;Thallichtenberg;290;205;67;-;9
0733603098;Theisbergstegen;346;238;87;3;12
0733604;Lauterecken, Verbandsgem.;5147;3556;1154;67;364
0733604001;Adenbach;77;51;16;3;7
0733604012;Buborn;68;36;29;3;-
0733604013;Cronenberg;93;63;15;6;9
0733604014;Deimberg;30;24;6;-;-
0733604029;Ginsweiler;145;116;18;-;11
0733604030;Glanbrücken;219;164;42;-;13
0733604033;Grumbach;256;173;53;9;21
0733604035;Hausweiler;40;31;3;-;6
0733604038;Heinzenhausen;130;87;34;3;6
0733604040;Herren-Sulzbach;79;49;9;6;15
0733604043;Hohenöllen;175;144;10;6;15
0733604044;Homberg b Lauterecken;98;82;9;-;7
0733604045;Hoppstädten;129;103;16;3;7
0733604049;Kappeln b Lauterecken;77;56;12;3;6
0733604050;Kirrweiler;76;69;7;-;-
0733604057;Langweiler b Lauterecken;132;89;34;3;6
0733604058;Lauterecken;994;583;347;10;51
0733604060;Lohnweiler;195;150;34;-;11
0733604061;Medard;242;181;39;-;22
0733604062;Merzweiler;75;69;3;-;3
0733604065;Nerzweiler;58;42;13;-;3
0733604074;Odenbach;422;302;80;3;37
0733604075;Offenbach-Hundheim;582;362;170;-;50
0733604095;Sankt Julian;524;370;115;6;30
0733604100;Unterjeckenbach;36;27;-;-;9
0733604104;Wiesweiler;195;133;40;3;19
0733605;Schönenberg-Kübelberg, Verbandsgem.;5838;3939;1477;9;283
0733605004;Altenkirchen, Pfalz;634;465;132;-;34
0733605011;Brücken (Pfalz);1079;757;234;-;65
0733605016;Dittweiler;388;292;81;-;12
0733605027;Frohnhofen;241;193;37;-;11
0733605032;Gries;518;317;146;3;28
0733605076;Ohmbach;368;286;54;-;18
0733605092;Schönenberg-Kübelberg;2610;1629;793;6;115
0733606;Waldmohr, Verbandsgem.;3959;2456;1241;3;197
0733606010;Breitenbach, Pfalz;938;689;182;-;67
0733606017;Dunzweiler;438;359;59;-;17
0733606102;Waldmohr;2583;1408;1000;3;113
0733607;Wolfstein, Verbandsgem.;4075;2706;972;50;287
0733607005;Aschbach;141;107;26;-;8
0733607019;Einöllen;223;153;48;-;22
0733607023;Eßweiler;236;161;46;6;23
0733607036;Hefersweiler;268;193;47;7;15
0733607042;Hinzweiler;184;144;23;-;17
0733607048;Jettenbach, Pfalz;458;295;104;3;18
0733607053;Kreimbach-Kaulbach;401;257;96;-;45
0733607069;Nußbach;290;213;43;19;15
0733607072;Oberweiler im Tal;72;50;15;3;4
0733607073;Oberweiler-Tiefenbach;126;99;21;-;6
0733607085;Reipoltskirchen;145;108;21;-;16
0733607086;Relsberg;79;61;9;-;6
0733607087;Rothselberg;341;233;83;-;18
0733607090;Rutsweiler an der Lauter;177;107;55;-;12
0733607105;Wolfstein;934;525;335;12;62
0733608;Lauterecken-Wolfstein;-;-;-;-;-
0733608001;Adenbach;-;-;-;-;-
0733608005;Aschbach;-;-;-;-;-
0733608012;Buborn;-;-;-;-;-
0733608013;Cronenberg;-;-;-;-;-
0733608014;Deimberg;-;-;-;-;-
0733608019;Einöllen;-;-;-;-;-
0733608023;Eßweiler;-;-;-;-;-
0733608029;Ginsweiler;-;-;-;-;-
0733608030;Glanbrücken;-;-;-;-;-
0733608033;Grumbach;-;-;-;-;-
0733608035;Hausweiler;-;-;-;-;-
0733608036;Hefersweiler;-;-;-;-;-
0733608038;Heinzenhausen;-;-;-;-;-
0733608040;Herren-Sulzbach;-;-;-;-;-
0733608042;Hinzweiler;-;-;-;-;-
0733608043;Hohenöllen;-;-;-;-;-
0733608044;Homberg;-;-;-;-;-
0733608045;Hoppstädten;-;-;-;-;-
0733608048;Jettenbach;-;-;-;-;-
0733608049;Kappeln;-;-;-;-;-
0733608050;Kirrweiler;-;-;-;-;-
0733608053;Kreimbach-Kaulbach;-;-;-;-;-
0733608057;Langweiler;-;-;-;-;-
0733608058;Lauterecken;-;-;-;-;-
0733608060;Lohnweiler;-;-;-;-;-
0733608061;Medard;-;-;-;-;-
0733608062;Merzweiler;-;-;-;-;-
0733608065;Nerzweiler;-;-;-;-;-
0733608069;Nußbach;-;-;-;-;-
0733608072;Oberweiler im Tal;-;-;-;-;-
0733608073;Oberweiler-Tiefenbach;-;-;-;-;-
0733608074;Odenbach;-;-;-;-;-
0733608075;Offenbach-Hundheim;-;-;-;-;-
0733608085;Reipoltskirchen;-;-;-;-;-
0733608086;Relsberg;-;-;-;-;-
0733608087;Rothselberg;-;-;-;-;-
0733608090;Rutsweiler an der Lauter;-;-;-;-;-
0733608095;Sankt Julian;-;-;-;-;-
0733608100;Unterjeckenbach;-;-;-;-;-
0733608104;Wiesweiler;-;-;-;-;-
0733608105;Wolfstein;-;-;-;-;-
0733609;Oberes Glantal;-;-;-;-;-
0733609004;Altenkirchen;-;-;-;-;-
0733609008;Börsborn;-;-;-;-;-
0733609010;Breitenbach;-;-;-;-;-
0733609011;Brücken (Pfalz);-;-;-;-;-
0733609016;Dittweiler;-;-;-;-;-
0733609017;Dunzweiler;-;-;-;-;-
0733609027;Frohnhofen;-;-;-;-;-
0733609031;Glan-Münchweiler;-;-;-;-;-
0733609032;Gries;-;-;-;-;-
0733609037;Henschtal;-;-;-;-;-
0733609041;Herschweiler-Petter.;-;-;-;-;-
0733609047;Hüffler;-;-;-;-;-
0733609054;Krottelbach;-;-;-;-;-
0733609056;Langenbach;-;-;-;-;-
0733609064;Nanzdietschweiler;-;-;-;-;-
0733609076;Ohmbach;-;-;-;-;-
0733609082;Rehweiler;-;-;-;-;-
0733609092;Schönenberg-Kübelb.;-;-;-;-;-
0733609096;Steinbach am Glan;-;-;-;-;-
0733609101;Wahnwegen;-;-;-;-;-
0733609102;Waldmohr;-;-;-;-;-
0733609107;Matzenbach;-;-;-;-;-
0733609501;Quirnbach/Pfalz;-;-;-;-;-
0733701;Annweiler am Trifels, Verbandsgem.;7943;5129;2256;137;421
0733701001;Albersweiler;908;627;223;10;48
0733701017;Dernbach, Pfalz;218;156;34;7;21
0733701024;Eußerthal;449;314;109;7;19
0733701033;Gossersweiler-Stein;668;461;117;52;38
0733701054;Münchweiler am Klingbach;107;88;9;-;10
0733701064;Ramberg;480;347;87;17;29
0733701067;Rinnthal;311;221;63;4;23
0733701074;Silz, Pfalz;317;243;58;-;16
0733701078;Völkersweiler;265;170;80;3;12
0733701080;Waldhambach;189;126;50;-;13
0733701081;Waldrohrbach;183;129;51;-;3
0733701083;Wernersberg;483;375;98;-;10
0733701501;Annweiler am Trifels;3365;1872;1277;37;179
0733702;Bad Bergzabern, Verbandsgem.;11671;6716;4089;294;572
0733702005;Bad Bergzabern;4401;1674;2328;165;234
0733702006;Barbelroth;261;203;48;3;7
0733702008;Birkenhördt;300;234;56;3;7
0733702013;Böllenborn;118;84;25;3;6
0733702018;Dierbach;234;173;55;3;3
0733702019;Dörrenbach;472;314;114;15;29
0733702029;Gleiszellen-Gleishorbach;381;279;58;12;32
0733702037;Hergersweiler;89;60;29;-;-
0733702045;Kapellen-Drusweiler;413;259;136;6;12
0733702046;Kapsweyer;435;357;48;9;21
0733702049;Klingenmünster;920;612;252;18;38
0733702055;Niederhorbach;210;124;80;3;3
0733702056;Niederotterbach;140;99;34;-;7
0733702058;Oberhausen b Bad Bergzabern;193;155;35;-;3
0733702059;Oberotterbach;570;388;151;9;22
0733702060;Oberschlettenbach;67;55;9;3;-
0733702062;Pleisweiler-Oberhofen;392;261;91;3;37
0733702071;Schweigen-Rechtenbach;645;447;157;12;29
0733702072;Schweighofen;267;186;49;10;22
0733702076;Steinfeld, Pfalz;848;549;251;4;44
0733702079;Vorderweidenthal;315;203;83;13;16
0733703;Edenkoben;9172;5766;2796;154;456
0733703002;Altdorf, Pfalz;325;233;78;-;14
0733703011;Böbingen;291;205;77;6;3
0733703015;Burrweiler;443;256;120;30;37
0733703020;Edenkoben;3201;1593;1437;16;155
0733703021;Edesheim;1053;704;272;19;58
0733703025;Flemlingen;185;129;45;-;11
0733703027;Freimersheim, Pfalz;389;282;92;-;15
0733703028;Gleisweiler;291;190;69;19;13
0733703032;Gommersheim;626;488;103;3;32
0733703035;Großfischlingen;250;199;35;4;12
0733703036;Hainfeld;372;249;83;12;28
0733703047;Kirrweiler (Pfalz);-;-;-;-;-
0733703048;Kleinfischlingen;130;105;13;-;12
0733703052;Maikammer;-;-;-;-;-
0733703066;Rhodt unter Rietburg;563;380;142;24;17
0733703069;Roschbach;370;267;88;0;15
0733703070;Sankt Martin;-;-;-;-;-
0733703077;Venningen;399;297;76;6;20
0733703084;Weyher in der Pfalz;284;189;66;15;14
0733704;Herxheim, Verbandsgem.;6341;4070;2100;12;159
0733704038;Herxheim bei Landau/Pfalz;4476;2701;1669;9;97
0733704039;Herxheimweyher;234;145;76;-;13
0733704044;Insheim;932;727;171;3;31
0733704068;Rohrbach, Pfalz;699;497;184;-;18
0733705;Landau-Land, Verbandsgem.;6284;4358;1532;116;278
0733705007;Billigheim-Ingenheim;1728;1141;519;13;55
0733705009;Birkweiler;338;233;86;3;16
0733705012;Böchingen;330;241;64;9;16
0733705022;Eschbach, Pfalz;309;177;105;3;24
0733705026;Frankweiler;439;308;106;-;25
0733705031;Göcklingen;399;320;69;-;10
0733705040;Heuchelheim-Klingen;408;283;89;14;22
0733705042;Ilbesheim bei Landau in der Pfalz;506;364;113;10;19
0733705043;Impflingen;364;273;75;-;16
0733705050;Knöringen;216;169;47;-;-
0733705051;Leinsweiler;271;144;45;61;21
0733705065;Ranschbach;285;212;49;-;24
0733705073;Siebeldingen;452;309;119;3;21
0733705082;Walsheim;239;184;46;-;9
0733706;Maikammer;3726;2072;1398;89;167
0733706002;Altdorf, Pfalz;-;-;-;-;-
0733706011;Böbingen;-;-;-;-;-
0733706015;Burrweiler;-;-;-;-;-
0733706020;Edenkoben;-;-;-;-;-
0733706021;Edesheim;-;-;-;-;-
0733706025;Flemlingen;-;-;-;-;-
0733706027;Freimersheim, Pfalz;-;-;-;-;-
0733706028;Gleisweiler;-;-;-;-;-
0733706032;Gommersheim;-;-;-;-;-
0733706035;Großfischlingen;-;-;-;-;-
0733706036;Hainfeld;-;-;-;-;-
0733706047;Kirrweiler (Pfalz);897;498;354;3;42
0733706048;Kleinfischlingen;-;-;-;-;-
0733706052;Maikammer;1922;1069;747;37;69
0733706066;Rhodt unter Rietburg;-;-;-;-;-
0733706069;Roschbach;-;-;-;-;-
0733706070;Sankt Martin;907;505;297;49;56
0733706077;Venningen;-;-;-;-;-
0733706084;Weyher in der Pfalz;-;-;-;-;-
0733707;Offenbach an der Queich, Verbandsgem.;5357;3489;1725;9;134
0733707014;Bornheim, Pfalz;623;447;158;-;18
0733707023;Essingen, Pfalz;894;648;227;3;16
0733707041;Hochstadt (Pfalz);1033;768;227;-;38
0733707061;Offenbach an der Queich;2807;1626;1113;6;62
0733800001;Altrip, verbandsfr. Gemeinde;3635;2335;1086;72;142
0733800004;Bobenheim-Roxheim, verbandsfr. Gemeinde;4701;2871;1697;3;130
0733800005;Böhl-Iggelheim, verbandsfr. Gemeinde;4666;3260;1227;39;140
0733800016;Lambsheim, verbandsfr. Gemeinde;2885;2031;752;-;102
0733800017;Limburgerhof, verbandsfr. Gemeinde;5524;3008;2383;6;127
0733800019;Mutterstadt, verbandsfr. Gemeinde;5687;3490;2046;3;148
0733800020;Neuhofen, verbandsfr. Gemeinde;3358;2153;1103;7;95
0733800023;Römerberg, verbandsfr. Gemeinde;4029;2795;1119;6;109
0733800025;Schifferstadt, verbandsfr. Gemeinde;8463;5104;3047;22;290
0733801;Dannstadt-Schauernheim, Verbandsgem.;5648;3671;1748;12;217
0733801006;Dannstadt-Schauernheim;3035;2008;901;3;123
0733801014;Hochdorf-Assenheim;1317;815;457;-;45
0733801022;Rödersheim-Gronau;1296;848;390;9;49
0733802;Dudenhofen, Verbandsgem.;4803;3152;1476;14;158
0733802007;Dudenhofen;2546;1588;872;4;79
0733802010;Hanhofen;955;678;247;3;27
0733802011;Harthausen;1302;886;357;7;52
0733803;Heßheim, Verbandsgem.;4169;3036;975;3;155
0733803002;Beindersheim;1351;899;397;3;52
0733803009;Großniedesheim;561;435;105;-;21
0733803012;Heßheim;1327;1003;273;-;51
0733803013;Heuchelheim bei Frankthal;554;388;144;-;22
0733803015;Kleinniedesheim;376;311;56;-;9
0733804;Maxdorf, Verbandsgem.;5644;3804;1699;9;132
0733804003;Birkenheide;1430;983;421;-;26
0733804008;Fußgönheim;1166;749;388;-;29
0733804018;Maxdorf;3048;2072;890;9;77
0733805;Waldsee, Verbandsgem.;3939;2460;1326;6;147
0733805021;Otterstadt;1429;1030;330;-;69
0733805026;Waldsee;2510;1430;996;6;78
0733806;Lambsheim-Heßheim;-;-;-;-;-
0733806002;Beindersheim;-;-;-;-;-
0733806009;Großniedesheim;-;-;-;-;-
0733806012;Heßheim;-;-;-;-;-
0733806013;Heuchelheim bei Frankenthal;-;-;-;-;-
0733806015;Kleinniedesheim;-;-;-;-;-
0733806016;Lambsheim;-;-;-;-;-
0733807;Römerberg-Dudenhofen;-;-;-;-;-
0733807007;Dudenhofen;-;-;-;-;-
0733807010;Hanhofen;-;-;-;-;-
0733807011;Harthausen;-;-;-;-;-
0733807023;Römerberg;-;-;-;-;-
0733808;Rheinauen;-;-;-;-;-
0733808001;Altrip;-;-;-;-;-
0733808020;Neuhofen;-;-;-;-;-
0733808021;Otterstadt;-;-;-;-;-
0733808026;Waldsee;-;-;-;-;-
0733900005;Bingen am Rhein, verbandsfr. Gemeinde;12304;5320;6385;37;562
0733900009;Budenheim, verbandsfr. Gemeinde;4136;1930;2096;3;103
0733900030;Ingelheim am Rhein, verbandsfr. Gemeinde;11977;5968;5587;39;380
0733901;Rhein-Nahe, Verbandsgem.;7412;4708;2134;162;405
0733901003;Bacharach;1067;613;320;21;113
0733901007;Breitscheid, Hunsrück;66;52;7;3;4
0733901036;Manubach;169;125;31;-;13
0733901038;Münster-Sarmsheim;1405;824;496;10;75
0733901040;Niederheimbach;401;268;111;9;13
0733901044;Oberdiebach;406;269;94;9;34
0733901045;Oberheimbach;286;212;65;6;3
0733901058;Trechtingshausen;504;323;154;-;27
0733901062;Waldalgesheim;1889;1194;537;95;63
0733901063;Weiler bei Bingen;1219;828;319;9;60
0733902;Bodenheim, Verbandsgem.;8674;5302;3125;28;219
0733902006;Bodenheim;3368;1875;1394;8;91
0733902020;Gau-Bischofsheim;856;581;246;3;26
0733902026;Harxheim;967;605;339;8;15
0733902034;Lörzweiler;915;660;232;3;20
0733902039;Nackenheim;2568;1581;914;6;67
0733903;Gau-Algesheim, Verbandsgem.;7336;4696;2395;12;227
0733903001;Appenheim;671;446;201;-;24
0733903008;Bubenheim, Rheinhessen;383;282;91;-;10
0733903016;Engelstadt;356;213;124;-;19
0733903019;Gau-Algesheim;2978;1762;1120;0;93
0733903041;Nieder-Hilbersheim;263;217;43;-;3
0733903046;Ober-Hilbersheim;454;341;92;6;15
0733903048;Ockenheim;1121;734;347;-;37
0733903051;Schwabenheim an der Selz;1110;701;377;6;26
0733904;Guntersblum, Verbandsgem.;4089;2857;1030;9;193
0733904013;Dolgesheim;392;295;87;-;10
0733904015;Eimsheim;244;180;52;-;12
0733904024;Guntersblum;1678;1142;466;-;70
0733904028;Hillesheim;265;215;32;-;18
0733904035;Ludwigshöhe;257;150;89;-;18
0733904059;Uelversheim;451;331;90;6;24
0733904064;Weinolsheim;283;196;66;3;18
0733904066;Wintersheim;117;86;28;-;3
0733904201;Dorn-Dürkheim;402;262;120;-;20
0733905;Heidesheim am Rhein, Verbandsgem.;4468;2747;1589;21;111
0733905027;Heidesheim am Rhein;3215;2066;1077;6;66
0733905061;Wackernheim;1253;681;512;15;45
0733906;Nieder-Olm, Verbandsgem.;14079;8377;5317;19;363
0733906017;Essenheim;1500;874;573;7;46
0733906031;Jugenheim in Rheinhessen;651;442;177;-;32
0733906032;Klein-Winternheim;1592;968;590;3;28
0733906042;Nieder-Olm;4083;2355;1618;-;110
0733906047;Ober-Olm;2029;1088;888;-;53
